sitrep_no,indicator_code,domain,value,extraction_rule
1,case_fatality_ratio,deaths,50,computed_from_INRB
1,cumulative_confirmed_cases,reference,8,INRB_reference
1,cumulative_deaths,reference,4,INRB_reference
1,suspected_cases_investigation,reference,246,INRB_reference
2,case_fatality_ratio,deaths,30.8,computed_from_INRB
2,cumulative_confirmed_cases,reference,13,INRB_reference
2,cumulative_deaths,reference,4,INRB_reference
2,suspected_cases_investigation,reference,246,INRB_reference
4,alerts_validated,surveillance,16,tbl_valid
4,case_fatality_ratio,deaths,12.1,computed_from_INRB
4,cases_nordkivu,cases,3,narr_nk
4,cumulative_confirmed_cases,reference,33,INRB_reference
4,cumulative_deaths,reference,4,INRB_reference
4,new_confirmed_cases,cases,20,narr_nouveaux
4,samples_received,laboratory,27,lab_recus
4,suspected_cases_investigation,reference,516,INRB_reference
5,case_fatality_ratio,deaths,7.8,computed_from_INRB
5,cases_nordkivu,cases,2,narr_nk
5,cumulative_confirmed_cases,reference,51,INRB_reference
5,cumulative_deaths,reference,4,INRB_reference
5,new_confirmed_cases,cases,16,narr_nouveaux
5,samples_analyzed,laboratory,31,lab_analyses_jour
5,samples_received,laboratory,46,lab_recus
5,suspected_cases_investigation,reference,575,INRB_reference
6,alerts_validated,surveillance,8,tbl_valid
6,case_fatality_ratio,deaths,9.4,computed_from_INRB
6,cases_nordkivu,cases,2,narr_nk
6,cumulative_confirmed_cases,reference,64,INRB_reference
6,cumulative_deaths,reference,6,INRB_reference
6,recovered,cases,0,box_value_row
6,samples_received,laboratory,92,lab_recus
6,suspected_cases_investigation,reference,671,INRB_reference
7,case_fatality_ratio,deaths,10.8,computed_from_INRB
7,cumulative_confirmed_cases,reference,83,INRB_reference
7,cumulative_deaths,reference,9,INRB_reference
7,suspected_cases_investigation,reference,746,INRB_reference
8,case_fatality_ratio,deaths,11,computed_from_INRB
8,cumulative_confirmed_cases,reference,91,INRB_reference
8,cumulative_deaths,reference,10,INRB_reference
8,suspected_cases_investigation,reference,867,INRB_reference
9,case_fatality_ratio,deaths,9.9,computed_from_INRB
9,cumulative_confirmed_cases,reference,101,INRB_reference
9,cumulative_deaths,reference,10,INRB_reference
9,suspected_cases_investigation,reference,904,INRB_reference
10,case_fatality_ratio,deaths,9.5,computed_from_INRB
10,cumulative_confirmed_cases,reference,105,INRB_reference
10,cumulative_deaths,reference,10,INRB_reference
10,suspected_cases_investigation,reference,906,INRB_reference
11,case_fatality_ratio,deaths,11.3,computed_from_INRB
11,cumulative_confirmed_cases,reference,106,INRB_reference
11,cumulative_deaths,reference,12,INRB_reference
11,suspected_cases_investigation,reference,998,INRB_reference
12,case_fatality_ratio,deaths,14,computed_from_INRB
12,cumulative_confirmed_cases,reference,121,INRB_reference
12,cumulative_deaths,reference,17,INRB_reference
12,suspected_cases_investigation,reference,1077,INRB_reference
13,alerts_reported,surveillance,0,tbl_alertes
13,case_fatality_ratio,deaths,13.6,computed_from_INRB
13,cases_ituri,cases,110,narr_ituri
13,cases_nordkivu,cases,14,narr_nk
13,cases_sudkivu,cases,1,narr_sk
13,contacts_listed,contacts,530,box_h_contacts
13,cumulative_confirmed_cases,reference,125,INRB_reference
13,cumulative_deaths,reference,17,INRB_reference
13,recovered,cases,223,box_value_row
13,samples_analyzed,laboratory,3,tbl_lab_anal
13,samples_positive,laboratory,24,narr_pos
13,samples_received,laboratory,73,lab_recus
13,suspected_cases_investigation,reference,906,INRB_reference
13,travellers_total,poe,14662,tbl_poe_total
14,case_fatality_ratio,deaths,8.1,computed_from_INRB
14,cumulative_confirmed_cases,reference,210,INRB_reference
14,cumulative_deaths,reference,17,INRB_reference
14,suspected_cases_investigation,reference,349,INRB_reference
15,alerts_investigated,surveillance,85,narr_invest
15,alerts_reported,surveillance,0,tbl_alertes
15,case_fatality_ratio,deaths,16,computed_from_INRB
15,cases_ituri,cases,245,narr_ituri
15,cases_nordkivu,cases,15,narr_nk
15,cases_sudkivu,cases,3,narr_sk
15,cumulative_confirmed_cases,reference,263,INRB_reference
15,cumulative_deaths,reference,42,INRB_reference
15,hz_affected_ituri,geography,14,narr_zs_ituri
15,hz_affected_national,geography,22,narr_zs_nat
15,recovered,cases,0,box_value_row
15,samples_analyzed,laboratory,70,tbl_lab_anal
15,samples_received,laboratory,70,lab_recus
15,suspected_cases_investigation,reference,349,INRB_reference
15,travellers_total,poe,18239,tbl_poe_total
16,alerts_investigated,surveillance,84,narr_invest
16,alerts_reported,surveillance,0,tbl_alertes
16,case_fatality_ratio,deaths,14.9,computed_from_INRB
16,cases_ituri,cases,264,narr_ituri
16,cases_nordkivu,cases,15,narr_nk
16,cases_sudkivu,cases,3,narr_sk
16,cumulative_confirmed_cases,reference,282,INRB_reference
16,cumulative_deaths,reference,42,INRB_reference
16,hz_affected_ituri,geography,14,narr_zs_ituri
16,hz_affected_national,geography,22,narr_zs_nat
16,new_confirmed_cases,cases,19,narr_nouveaux
16,recovered,cases,42,box_value_row
16,samples_collected,laboratory,52,narr_echant
16,samples_positive,laboratory,19,narr_pos
16,suspected_cases_investigation,reference,321,INRB_reference
16,travellers_total,poe,13960,tbl_poe_total
17,alerts_investigated,surveillance,170,tbl_invest
17,alerts_investigation_rate,surveillance,88.5,tbl_invest_rate
17,alerts_reported,surveillance,192,tbl_alertes
17,alerts_validated,surveillance,117,tbl_valid
