"semaine","n_alertes","n_provinces","n_zones","variation_pct","tendance"
"2025-05-26",1,1,1,NA,"Début"
"2025-08-11",1,1,1,0,"STABLE"
"2025-08-18",7,1,2,600,"HAUSSE"
"2025-08-25",6,1,2,-14.3,"STABLE"
"2025-09-01",44,1,4,633.3,"HAUSSE"
"2025-09-08",56,1,8,27.3,"HAUSSE"
"2025-09-15",32,1,8,-42.9,"BAISSE"
"2025-09-22",164,2,44,412.5,"HAUSSE"
"2025-09-29",288,2,29,75.6,"HAUSSE"
"2025-10-06",292,1,29,1.4,"STABLE"
"2025-10-13",448,1,26,53.4,"HAUSSE"
"2025-10-20",359,1,40,-19.9,"STABLE"
"2025-10-27",512,1,37,42.6,"HAUSSE"
"2025-11-03",537,2,42,4.9,"STABLE"
"2025-11-10",435,1,32,-19,"STABLE"
"2025-11-17",345,1,31,-20.7,"BAISSE"
"2025-11-24",241,2,24,-30.1,"BAISSE"
"2025-12-01",59,1,7,-75.5,"BAISSE"
"2025-12-08",53,1,10,-10.2,"STABLE"
"2025-12-15",21,1,2,-60.4,"BAISSE"
"2025-12-22",3,1,2,-85.7,"BAISSE"
"2025-12-29",2,1,2,-33.3,"BAISSE"
"2026-03-09",2,1,1,0,"STABLE"
"2026-04-06",1,1,1,-50,"BAISSE"
"2026-04-20",2,1,2,100,"HAUSSE"
"2026-04-27",2,1,2,0,"STABLE"
"2026-05-04",5,2,5,150,"HAUSSE"
"2026-05-11",128,1,31,2460,"HAUSSE"
"2026-05-18",443,3,89,246.1,"HAUSSE"
"2026-05-25",689,4,117,55.5,"HAUSSE"
"2026-06-01",979,3,140,42.1,"HAUSSE"
"2026-06-08",977,3,158,-0.2,"STABLE"
"2026-06-15",1862,3,226,90.6,"HAUSSE"
"2026-06-22",524,2,148,-71.9,"BAISSE"
