"province","zone_sante","n_alertes","alertes_7j","alertes_30j","n_confirmes","n_deces","derniere_alerte","score_criticite","priorite"
"it Ituri Province","It Rwampara Aire De Santé",492,112,393,107,28,"2026-06-23",1264,"HAUTE"
"it Ituri Province","It Bigo Aire De Santé",321,101,278,76,27,"2026-06-23",961,"HAUTE"
"it Ituri Province","It Aero Aire De Santé",224,83,202,82,4,"2026-06-23",861,"HAUTE"
"it Ituri Province","It Hoho Aire De Santé",236,38,193,84,6,"2026-06-23",727,"HAUTE"
"it Ituri Province","It Mongbwalu Aire De Santé",163,27,141,85,0,"2026-06-23",647,"HAUTE"
"it Ituri Province","It Nyankunde Aire De Santé",191,38,162,42,1,"2026-06-23",486,"HAUTE"
"it Ituri Province","It Ceca 20 Aire De Santé",96,31,88,56,1,"2026-06-23",461,"HAUTE"
"it Ituri Province","It Saïo Aire De Santé",65,37,61,31,0,"2026-06-23",327,"HAUTE"
"it Ituri Province","It Nizi Aire De Santé",87,34,86,23,1,"2026-06-22",303,"HAUTE"
"it Ituri Province","It Shari Aire De Santé",80,13,57,33,4,"2026-06-23",261,"HAUTE"
"it Ituri Province","It Sota Aire De Santé",80,15,77,26,0,"2026-06-23",252,"HAUTE"
"it Ituri Province","It Bunia Cité Aire De Santé",120,17,86,16,5,"2026-06-22",217,"HAUTE"
"it Ituri Province","It Ndcm Aire De Santé",61,12,51,26,0,"2026-06-22",217,"HAUTE"
"it Ituri Province","It Aéroport De Bunia Poc",65,0,65,30,0,"2026-06-16",215,"HAUTE"
"nk Nord Kivu Province","Nk Vungi Aire De Santé",53,16,51,14,0,"2026-06-23",169,"HAUTE"
"it Ituri Province","It Mudzi Maria Aire De Santé",44,15,43,15,5,"2026-06-22",163,"HAUTE"
"it Ituri Province","It Bahwere Aire De Santé",44,19,44,8,0,"2026-06-23",141,"HAUTE"
"it Ituri Province","It Mandje Aire De Santé",25,12,24,15,0,"2026-06-23",135,"HAUTE"
"it Ituri Province","It Ngezi Aire De Santé",73,5,56,12,3,"2026-06-22",131,"HAUTE"
"it Ituri Province","It Pluto Aire De Santé",29,11,28,14,0,"2026-06-23",131,"HAUTE"
"nk Nord Kivu Province","Nk Vusorongi Aire De Santé",48,27,48,0,0,"2026-06-23",129,"HAUTE"
"it Ituri Province","It Bambu Aire De Santé",52,17,46,6,0,"2026-06-23",127,"HAUTE"
"it Ituri Province","It Cnca Saio Aire De Santé",56,6,44,13,4,"2026-06-22",127,"HAUTE"
"nk Nord Kivu Province","Nk Kyavinyonge Aire De Santé",53,22,53,0,0,"2026-06-23",119,"HAUTE"
"it Ituri Province","It Police De Frontière Aire De Santé",39,8,29,13,0,"2026-06-23",118,"HAUTE"
"nk Nord Kivu Province","Nk Masuli Aire De Santé",41,13,41,7,0,"2026-06-23",115,"HAUTE"
"it Ituri Province","It Bankoko Aire De Santé",70,4,61,7,2,"2026-06-18",108,"HAUTE"
"it Ituri Province","It Komanda Aire De Santé",31,15,31,6,0,"2026-06-23",106,"HAUTE"
"ks Kasai Province","Ks Dikole Aire De Santé",248,0,0,21,16,"2025-12-09",105,"HAUTE"
"nk Nord Kivu Province","Nk Kanyaruchinya Aire De Santé",71,10,70,0,0,"2026-06-23",100,"HAUTE"
"it Ituri Province","It Katoto Aire De Santé",22,10,19,10,0,"2026-06-21",99,"HAUTE"
"it Ituri Province","It Ameri Aire De Santé",26,24,26,0,0,"2026-06-23",98,"HAUTE"
"it Ituri Province","It Bora Uzima Aire De Santé",51,2,42,10,4,"2026-06-21",98,"HAUTE"
"it Ituri Province","It Ndibakodu Aire De Santé",40,12,39,4,0,"2026-06-23",95,"HAUTE"
"it Ituri Province","It Tchunga Aire De Santé",38,2,27,12,2,"2026-06-21",93,"HAUTE"
"it Ituri Province","It Marabo Aire De Santé",41,8,33,7,2,"2026-06-23",92,"HAUTE"
"it Ituri Province","It Odranyi Aire De Santé",23,23,23,0,0,"2026-06-22",92,"HAUTE"
"ks Kasai Province","Ks Bulape Aire De Santé",343,0,0,18,26,"2025-12-09",90,"HAUTE"
