"province","zone_sante","n_alertes","n_jours_actif","date_derniere","alertes_7j","rang","pct_total"
"it Ituri Province","It Rwampara Aire De Santé",492,38,"2026-06-23",112,1,5.3
"ks Kasai Province","Ks Bulape Aire De Santé",343,117,"2025-12-09",0,2,3.7
"it Ituri Province","It Bigo Aire De Santé",321,42,"2026-06-23",101,3,3.5
"ks Kasai Province","Ks Mpatambamba Aire De Santé",316,84,"2025-12-09",0,4,3.4
"ks Kasai Province","Ks Dikole Aire De Santé",248,111,"2025-12-09",0,5,2.7
"it Ituri Province","It Hoho Aire De Santé",236,40,"2026-06-23",38,6,2.5
"it Ituri Province","It Aero Aire De Santé",224,50,"2026-06-23",83,7,2.4
"ks Kasai Province","Ks Bulape Communautaire Aire De Santé",215,97,"2025-12-12",0,8,2.3
"it Ituri Province","It Nyankunde Aire De Santé",191,40,"2026-06-23",38,9,2.1
"ks Kasai Province","Ks Buleka Aire De Santé",186,50,"2025-11-16",0,10,2
"ks Kasai Province","Ks Lukaka Aire De Santé",172,94,"2025-12-30",0,11,1.9
"it Ituri Province","It Mongbwalu Aire De Santé",163,46,"2026-06-23",27,12,1.8
"ks Kasai Province","Ks Muanyika Aire De Santé",161,72,"2025-12-08",0,13,1.7
"ks Kasai Province","Ks Yoolo Aire De Santé",161,92,"2026-01-01",0,14,1.7
"ks Kasai Province","Ks Mweka 1 Aire De Santé",158,83,"2025-11-30",0,15,1.7
"ks Kasai Province","Ks Ikit Aire De Santé",154,80,"2025-12-11",0,16,1.7
"ks Kasai Province","Ks Mweka 3 Aire De Santé",152,53,"2025-11-11",0,17,1.6
"ks Kasai Province","Ks Mbelo Aire De Santé",151,24,"2025-11-30",0,18,1.6
"ks Kasai Province","Ks Ingongo Aire De Santé",124,79,"2025-11-24",0,19,1.3
"ks Kasai Province","Ks Tshikuluka Aire De Santé",122,63,"2025-11-29",0,20,1.3
"it Ituri Province","It Bunia Cité Aire De Santé",120,37,"2026-06-22",17,21,1.3
"ks Kasai Province","Ks Maréchal Aire De Santé",110,80,"2025-12-16",0,22,1.2
"ks Kasai Province","Ks Pombo Aire De Santé",101,79,"2025-12-11",0,23,1.1
"ks Kasai Province","Ks Ebampoma Aire De Santé",98,38,"2025-11-24",0,24,1.1
"it Ituri Province","It Ceca 20 Aire De Santé",96,38,"2026-06-23",31,25,1
"it Ituri Province","It Nizi Aire De Santé",87,33,"2026-06-22",34,26,0.9
"it Ituri Province","It Shari Aire De Santé",80,41,"2026-06-23",13,27,0.9
"it Ituri Province","It Sota Aire De Santé",80,36,"2026-06-23",15,28,0.9
"ks Kasai Province","Ks Bambalaie Aire De Santé",76,73,"2025-11-25",0,29,0.8
"ks Kasai Province","Ks Congo Aire De Santé",75,47,"2025-11-15",0,30,0.8
"ks Kasai Province","Ks Mpianga Aire De Santé",75,81,"2025-11-30",0,31,0.8
"it Ituri Province","It Ngezi Aire De Santé",73,38,"2026-06-22",5,32,0.8
"nk Nord Kivu Province","Nk Kanyaruchinya Aire De Santé",71,30,"2026-06-23",10,33,0.8
"it Ituri Province","It Bankoko Aire De Santé",70,32,"2026-06-18",4,34,0.8
"it Ituri Province","It Aéroport De Bunia Poc",65,12,"2026-06-16",0,35,0.7
"it Ituri Province","It Saïo Aire De Santé",65,37,"2026-06-23",37,36,0.7
"it Ituri Province","It Ndcm Aire De Santé",61,40,"2026-06-22",12,37,0.7
"ks Kasai Province","Ks Benansamba Aire De Santé",61,92,"2025-12-28",0,38,0.7
"it Ituri Province","It Cnca Saio Aire De Santé",56,36,"2026-06-22",6,39,0.6
"nk Nord Kivu Province","Nk Kyavinyonge Aire De Santé",53,10,"2026-06-23",22,40,0.6
"nk Nord Kivu Province","Nk Vungi Aire De Santé",53,30,"2026-06-23",16,41,0.6
"it Ituri Province","It Bambu Aire De Santé",52,37,"2026-06-23",17,42,0.6
"it Ituri Province","It Bora Uzima Aire De Santé",51,61,"2026-06-21",2,43,0.5
"ks Kasai Province","Ks Bulongo Aire De Santé",49,51,"2025-11-13",0,44,0.5
"ks Kasai Province","Ks Nsungi Munene Aire De Santé",48,37,"2025-11-03",0,45,0.5
"nk Nord Kivu Province","Nk Vusorongi Aire De Santé",48,10,"2026-06-23",27,46,0.5
"it Ituri Province","It Adventiste Aire De Santé",44,33,"2026-06-22",1,47,0.5
"it Ituri Province","It Bahwere Aire De Santé",44,25,"2026-06-23",19,48,0.5
"it Ituri Province","It Mudzi Maria Aire De Santé",44,31,"2026-06-22",15,49,0.5
"ks Kasai Province","Ks Mweka 2 Aire De Santé",44,54,"2025-11-20",0,50,0.5
"it Ituri Province","It Marabo Aire De Santé",41,62,"2026-06-23",8,51,0.4
"nk Nord Kivu Province","Nk Masuli Aire De Santé",41,29,"2026-06-23",13,52,0.4
"it Ituri Province","It Ndibakodu Aire De Santé",40,34,"2026-06-23",12,53,0.4
"ks Kasai Province","Ks Luayi Bushongo Aire De Santé",40,51,"2025-11-21",0,54,0.4
"it Ituri Province","It Opas Aire De Santé",39,30,"2026-06-21",4,55,0.4
"it Ituri Province","It Police De Frontière Aire De Santé",39,38,"2026-06-23",8,56,0.4
"ks Kasai Province","Ks Bukwek Aire De Santé",39,49,"2025-11-24",0,57,0.4
"ks Kasai Province","Ks Bungamba Aire De Santé",39,194,"2026-04-06",0,58,0.4
"nk Nord Kivu Province","Nk Vuhovi Aire De Santé",39,27,"2026-06-23",14,59,0.4
"it Ituri Province","It Tchunga Aire De Santé",38,35,"2026-06-21",2,60,0.4
"ks Kasai Province","Ks Bakamayi Aire De Santé",37,54,"2025-11-20",0,61,0.4
"ks Kasai Province","Ks Banongo Aire De Santé",36,25,"2025-10-22",0,62,0.4
"it Ituri Province","It Rwambuzi Aire De Santé",35,36,"2026-06-23",2,63,0.4
