sitrep_no,cfr,cas_cumules,deces_cumules,suspects,nouveaux_cas,date,nouveaux_cas_calc,nouveaux_deces,var_cas,moy_mobile_cas
1,50,8,4,246,NA,2026-05-14,NA,NA,NA,NA
2,30.8,13,4,246,5,2026-05-17,5,0,5,5
4,12.1,33,4,516,NA,2026-05-18,NA,NA,NA,5
5,7.8,51,4,575,18,2026-05-19,18,0,18,11.5
6,9.4,64,6,671,13,2026-05-20,13,2,13,15.5
7,10.8,83,9,746,19,2026-05-21,19,3,19,16.666666666666668
8,11,91,10,867,8,2026-05-22,8,1,8,13.333333333333334
9,9.9,101,10,904,10,2026-05-23,10,0,10,12.333333333333334
10,9.5,105,10,906,4,2026-05-24,4,0,4,7.333333333333333
11,11.3,106,12,998,1,2026-05-25,1,2,1,5
12,14,121,17,1077,15,2026-05-26,15,5,15,6.666666666666667
13,13.6,125,17,906,4,2026-05-27,4,0,4,6.666666666666667
14,8.1,210,17,349,85,2026-05-28,85,0,85,34.666666666666664
15,16,263,42,349,53,2026-05-29,53,25,53,47.333333333333336
17,15,321,48,220,NA,2026-05-31,NA,NA,NA,69
18,17.4,344,60,289,23,2026-06-01,23,12,23,38
19,17.1,363,62,206,19,2026-06-02,19,2,19,21
20,16.8,381,64,NA,18,2026-06-03,18,2,18,20
21,18.1,452,82,153,71,2026-06-04,71,18,71,36
22,17.6,488,86,119,36,2026-06-05,36,4,36,41.666666666666664
23,17.7,515,91,117,27,2026-06-06,27,5,27,44.666666666666664
24,18.4,550,101,94,35,2026-06-07,35,10,35,32.666666666666664
25,19.2,598,115,138,48,2026-06-08,48,14,48,36.666666666666664
26,20,635,127,119,37,2026-06-09,37,12,37,40
27,20.1,676,136,119,41,2026-06-10,41,9,41,42
28,20.2,689,139,168,13,2026-06-11,13,3,13,30.333333333333332
30,23.1,782,181,136,NA,2026-06-13,NA,NA,NA,27
47,31.2,1406,438,NA,NA,2026-06-30,NA,NA,NA,13
48,30.9,1460,452,NA,54,2026-07-01,54,14,54,54
49,31.5,1502,473,NA,42,2026-07-02,42,21,42,48
50,32.2,1528,492,NA,26,2026-07-02,26,19,26,40.666666666666664
51,32.4,1561,506,NA,33,2026-07-04,33,14,33,33.666666666666664
52,32.1,1624,521,NA,63,2026-07-05,63,15,63,40.666666666666664
53,34,1708,580,NA,84,2026-07-06,84,59,84,60
54,34.1,1759,600,NA,51,2026-07-07,51,20,51,66
55,34.9,1792,625,NA,33,2026-07-08,33,25,33,56
57,35.9,1873,672,NA,NA,2026-07-10,NA,NA,NA,42
60,37.5,2011,754,NA,NA,2026-07-13,NA,NA,NA,33
61,38.4,2073,796,NA,62,2026-07-14,62,42,62,62
62,39,2124,828,NA,51,2026-07-15,51,32,51,56.5
64,39.4,2267,893,NA,NA,2026-07-17,NA,NA,NA,56.5
