nom,cas
Bunia,1397
Rwampara,950
Nizi,662
Mongbwalu,610
Katwa,390
Mangala,246
Lita,218
Nia-Nia,215
Butembo,165
Bambu,161
Beni,138
Nyankunde,124
Isiro,81
Musienene,79
Komanda,78
Wamba,77
Fataki,76
Tchomia,57
Mandima,36
Nia Nia,35
Pawa,33
Kilo,32
Damas,28
Boma Mangbetu,27
Lolwa,22
Mambasa,17
Kalunguta,16
Kyondo,16
Drodro,13
Aungba,12
Adja,11
Logo,11
Rimba,10
Makiso-Kisangani,9
Masereka,9
Ariwara,8
Aru,8
Oicha,7
Gety,6
Vuhovi,6
Mabalako,5
Mahagi,4
Rumba,4
Gombari,3
Kabondo,3
Makiso Kisangani,3
Miti Murhesa,3
Miti-Murhesa,3
Bafwasende,2
Boga,2
Ganga,2
Kambala,2
Mangobo,2
Biena,1
Buta,1
Goma,1
Lubero,1
Lubunga,1
Lubunga (Tshopo),1
Manguredjipa,1
Mutwanga,1
Rungu,1
Tshopo,1
Viadana,1
Wanierukula,1
Karisimbi,0
