sitrep_no,CRITICAL,WARNING,qc_status
2,1,6,BLOCKED_CRITICAL
4,0,6,PASS_WITH_WARNINGS
5,0,2,PASS_WITH_WARNINGS
6,0,4,PASS_WITH_WARNINGS
12,3,5,BLOCKED_CRITICAL
13,3,5,BLOCKED_CRITICAL
14,4,4,BLOCKED_CRITICAL
15,4,4,BLOCKED_CRITICAL
16,4,4,BLOCKED_CRITICAL
17,4,3,BLOCKED_CRITICAL
18,4,4,BLOCKED_CRITICAL
19,4,4,BLOCKED_CRITICAL
20,4,4,BLOCKED_CRITICAL
21,4,4,BLOCKED_CRITICAL
22,4,4,BLOCKED_CRITICAL
23,4,4,BLOCKED_CRITICAL
24,4,4,BLOCKED_CRITICAL
25,4,4,BLOCKED_CRITICAL
26,4,4,BLOCKED_CRITICAL
27,4,4,BLOCKED_CRITICAL
28,4,4,BLOCKED_CRITICAL
30,4,4,BLOCKED_CRITICAL
31,4,4,BLOCKED_CRITICAL
32,4,4,BLOCKED_CRITICAL
33,4,4,BLOCKED_CRITICAL
34,4,4,BLOCKED_CRITICAL
35,4,4,BLOCKED_CRITICAL
36,4,4,BLOCKED_CRITICAL
37,4,6,BLOCKED_CRITICAL
38,4,4,BLOCKED_CRITICAL
39,4,4,BLOCKED_CRITICAL
40,4,4,BLOCKED_CRITICAL
