sitrep_no,page,line_no,health_zone,confidence,evidence_line,rule
1,1,8,Bunia,high,"Zone de Santé touchée Mongbwalu, Bunia et Rwampara",NA
1,1,8,Mongbwalu,high,"Zone de Santé touchée Mongbwalu, Bunia et Rwampara",NA
1,1,8,Rwampara,high,"Zone de Santé touchée Mongbwalu, Bunia et Rwampara",NA
4,1,8,Bunia,medium,"ITURI : Mongbwalu, Rwampara, Bunia, Nyankunde,NORD",NA
4,1,8,Mongbwalu,medium,"ITURI : Mongbwalu, Rwampara, Bunia, Nyankunde,NORD",NA
4,1,8,Nyankunde,medium,"ITURI : Mongbwalu, Rwampara, Bunia, Nyankunde,NORD",NA
4,1,8,Rwampara,medium,"ITURI : Mongbwalu, Rwampara, Bunia, Nyankunde,NORD",NA
4,1,10,Butembo,medium,"KIVU : Goma, Katwa et Butembo",NA
4,1,10,Goma,medium,"KIVU : Goma, Katwa et Butembo",NA
4,1,10,Katwa,medium,"KIVU : Goma, Katwa et Butembo",NA
4,4,4,Bambu,medium,Bunia Rwampara Nyankunde Mongbwalu Nizi Lita Bambu Fataki Total,NA
4,4,4,Lita,medium,Bunia Rwampara Nyankunde Mongbwalu Nizi Lita Bambu Fataki Total,NA
4,4,4,Nizi,medium,Bunia Rwampara Nyankunde Mongbwalu Nizi Lita Bambu Fataki Total,NA
5,1,6,Bunia,medium,"ITURI : Mongbwalu, Rwampara, Bunia, Nyankunde,",NA
5,1,6,Mongbwalu,medium,"ITURI : Mongbwalu, Rwampara, Bunia, Nyankunde,",NA
5,1,6,Nyankunde,medium,"ITURI : Mongbwalu, Rwampara, Bunia, Nyankunde,",NA
5,1,6,Rwampara,medium,"ITURI : Mongbwalu, Rwampara, Bunia, Nyankunde,",NA
5,1,8,Butembo,medium,"NORD KIVU : Goma, Katwa et Butembo",NA
5,1,8,Goma,medium,"NORD KIVU : Goma, Katwa et Butembo",NA
5,1,8,Katwa,medium,"NORD KIVU : Goma, Katwa et Butembo",NA
5,4,44,Bambu,high,"• Recherche active des cas de MVE : ZS Bunia, Bambu, Rwampara, Nyankunde",NA
5,4,45,Mangala,medium,"• Investigation autour des alertes de MVE : ZS Bunia, Mongbwalu, Rwampara, Nyankunde, Kamanda, Mangala,",NA
5,4,46,Aru,medium,Bambu et Aru,NA
6,1,4,Bunia,medium,"ITURI : Mongbwalu, Rwampara, Bunia, Nyankunde,",NA
6,1,4,Mongbwalu,medium,"ITURI : Mongbwalu, Rwampara, Bunia, Nyankunde,",NA
6,1,4,Nyankunde,medium,"ITURI : Mongbwalu, Rwampara, Bunia, Nyankunde,",NA
6,1,4,Rwampara,medium,"ITURI : Mongbwalu, Rwampara, Bunia, Nyankunde,",NA
6,1,6,Butembo,medium,"NORD KIVU : Goma, Katwa et Butembo",NA
6,1,6,Goma,medium,"NORD KIVU : Goma, Katwa et Butembo",NA
6,1,6,Katwa,medium,"NORD KIVU : Goma, Katwa et Butembo",NA
6,1,30,Bambu,medium,Bambu 1 0 ND 1 128 0,NA
6,3,23,Beni,high,Division Provinciale de la Santé du Nord-Kivu (Beni) et Ituri (Bunia).,NA
6,4,1,Lita,medium,Logo Lita Nizi,NA
6,4,1,Logo,medium,Logo Lita Nizi,NA
6,4,1,Nizi,medium,Logo Lita Nizi,NA
6,4,3,Aungba,medium,Mangala Bambu Aungba Suivi des,NA
6,4,3,Mangala,medium,Mangala Bambu Aungba Suivi des,NA
6,4,5,Komanda,medium,Komanda Rwampara,NA
6,6,24,Aru,medium,ARU OMBAYI 253 253 253 253 0 0 0,NA
