sitrep_no,indicator_code,domain,value,extraction_rule,value_source,source_type,priority
1,case_fatality_ratio,deaths,50,computed_from_INRB,NA,NA,NA
1,cumulative_confirmed_cases,reference,8,INRB_reference,NA,NA,NA
1,cumulative_deaths,reference,4,INRB_reference,NA,NA,NA
1,suspected_cases_investigation,reference,246,INRB_reference,NA,NA,NA
2,case_fatality_ratio,deaths,30.8,computed_from_INRB,NA,NA,NA
2,contacts_followed_up,contacts,157,narr_contacts_followed,NA,NA,NA
2,contacts_listed,contacts,0,box_contacts_listed,NA,NA,NA
2,cumulative_confirmed_cases,reference,13,INRB_reference,NA,NA,NA
2,cumulative_deaths,reference,4,INRB_reference,NA,NA,NA
2,suspected_cases_investigation,reference,246,INRB_reference,NA,NA,NA
4,alerts_validated,surveillance,16,tbl_alerts_validated,NA,NA,NA
4,case_fatality_ratio,deaths,12.1,computed_from_INRB,NA,NA,NA
4,cumulative_confirmed_cases,reference,33,INRB_reference,NA,NA,NA
4,cumulative_deaths,reference,4,INRB_reference,NA,NA,NA
4,samples_received,laboratory,27,narr_samples_received,NA,NA,NA
4,suspected_cases_investigation,reference,516,INRB_reference,NA,NA,NA
5,case_fatality_ratio,deaths,7.8,computed_from_INRB,NA,NA,NA
5,cumulative_confirmed_cases,reference,51,INRB_reference,NA,NA,NA
5,cumulative_deaths,reference,4,INRB_reference,NA,NA,NA
5,new_confirmed_cases,cases,59,derived_from_valid_cumulative_difference_vs_sitrep_4,NA,NA,NA
5,new_deaths,deaths,17,derived_from_valid_cumulative_difference_vs_sitrep_4,NA,NA,NA
5,samples_received,laboratory,46,narr_samples_received,NA,NA,NA
5,suspected_cases_investigation,reference,575,INRB_reference,NA,NA,NA
6,alerts_validated,surveillance,8,tbl_alerts_validated,NA,NA,NA
6,case_fatality_ratio,deaths,9.4,computed_from_INRB,NA,NA,NA
6,cumulative_confirmed_cases,reference,64,INRB_reference,NA,NA,NA
6,cumulative_deaths,reference,6,INRB_reference,NA,NA,NA
6,new_confirmed_cases,cases,1306,derived_from_valid_cumulative_difference_vs_sitrep_5,NA,NA,NA
6,new_deaths,deaths,1733,derived_from_valid_cumulative_difference_vs_sitrep_5,NA,NA,NA
6,samples_received,laboratory,218,narr_samples_received,NA,NA,NA
6,suspected_cases_investigation,reference,671,INRB_reference,NA,NA,NA
7,case_fatality_ratio,deaths,10.8,computed_from_INRB,NA,NA,NA
7,cumulative_confirmed_cases,reference,83,INRB_reference,NA,NA,NA
7,cumulative_deaths,reference,9,INRB_reference,NA,NA,NA
7,suspected_cases_investigation,reference,746,INRB_reference,NA,NA,NA
8,case_fatality_ratio,deaths,11,computed_from_INRB,NA,NA,NA
8,cumulative_confirmed_cases,reference,91,INRB_reference,NA,NA,NA
8,cumulative_deaths,reference,10,INRB_reference,NA,NA,NA
8,suspected_cases_investigation,reference,867,INRB_reference,NA,NA,NA
9,case_fatality_ratio,deaths,9.9,computed_from_INRB,NA,NA,NA
9,cumulative_confirmed_cases,reference,101,INRB_reference,NA,NA,NA
9,cumulative_deaths,reference,10,INRB_reference,NA,NA,NA
9,suspected_cases_investigation,reference,904,INRB_reference,NA,NA,NA
10,case_fatality_ratio,deaths,9.5,computed_from_INRB,NA,NA,NA
10,cumulative_confirmed_cases,reference,105,INRB_reference,NA,NA,NA
10,cumulative_deaths,reference,10,INRB_reference,NA,NA,NA
10,suspected_cases_investigation,reference,906,INRB_reference,NA,NA,NA
11,case_fatality_ratio,deaths,11.3,computed_from_INRB,NA,NA,NA
11,cumulative_confirmed_cases,reference,106,INRB_reference,NA,NA,NA
11,cumulative_deaths,reference,12,INRB_reference,NA,NA,NA
11,suspected_cases_investigation,reference,998,INRB_reference,NA,NA,NA
12,case_fatality_ratio,deaths,14,computed_from_INRB,NA,NA,NA
12,contacts_followed_up,contacts,944,narr_contacts_followed,NA,NA,NA
12,cumulative_confirmed_cases,reference,121,INRB_reference,NA,NA,NA
12,cumulative_deaths,reference,17,INRB_reference,NA,NA,NA
12,doses_vaccine_administered,vaccination,190,narr_persons_vaccinated,NA,NA,NA
12,samples_analyzed,laboratory,9,tbl_samples_analyzed,NA,NA,NA
12,suspected_cases_investigation,reference,1077,INRB_reference,NA,NA,NA
13,case_fatality_ratio,deaths,13.6,computed_from_INRB,NA,NA,NA
13,contacts_followed_up,contacts,1048,narr_contacts_followed,NA,NA,NA
13,cumulative_confirmed_cases,reference,125,INRB_reference,NA,NA,NA
13,cumulative_deaths,reference,17,INRB_reference,NA,NA,NA
13,samples_analyzed,laboratory,6,tbl_samples_analyzed,NA,NA,NA
13,suspected_cases_investigation,reference,906,INRB_reference,NA,NA,NA
14,case_fatality_ratio,deaths,8.1,computed_from_INRB,NA,NA,NA
14,contacts_followed_up,contacts,990,narr_contacts_followed,NA,NA,NA
14,cumulative_confirmed_cases,reference,210,INRB_reference,NA,NA,NA
14,cumulative_deaths,reference,17,INRB_reference,NA,NA,NA
14,samples_analyzed,laboratory,14,tbl_samples_analyzed,NA,NA,NA
14,suspected_cases_investigation,reference,349,INRB_reference,NA,NA,NA
15,alerts_investigated,surveillance,85,narr_alerts_investigated,NA,NA,NA
15,alerts_reported,surveillance,0,tbl_alerts_reported,NA,NA,NA
15,case_fatality_ratio,deaths,16,computed_from_INRB,NA,NA,NA
15,cumulative_confirmed_cases,reference,263,INRB_reference,NA,NA,NA
15,cumulative_deaths,reference,42,INRB_reference,NA,NA,NA
15,samples_analyzed,laboratory,70,tbl_samples_analyzed,NA,NA,NA
15,samples_received,laboratory,70,narr_samples_received,NA,NA,NA
15,suspected_cases_investigation,reference,349,INRB_reference,NA,NA,NA
16,alerts_investigated,surveillance,84,narr_alerts_investigated,NA,NA,NA
16,alerts_reported,surveillance,0,tbl_alerts_reported,NA,NA,NA
16,case_fatality_ratio,deaths,17.6,computed_from_INRB,NA,NA,NA
16,cumulative_confirmed_cases,reference,238,INRB_reference,NA,NA,NA
16,cumulative_deaths,reference,42,INRB_reference,NA,NA,NA
16,samples_collected,laboratory,52,narr_samples_collected,NA,NA,NA
16,samples_positive,laboratory,19,narr_samples_positive,NA,NA,NA
16,suspected_cases_investigation,reference,321,INRB_reference,NA,NA,NA
17,alerts_investigated,surveillance,170,tbl_alerts_investigated,NA,NA,NA
17,alerts_investigation_rate,surveillance,88.5,tbl_alerts_investigation_rate,NA,NA,NA
17,alerts_reported,surveillance,192,tbl_alerts_reported,NA,NA,NA
17,alerts_validated,surveillance,117,tbl_alerts_validated,NA,NA,NA
17,case_fatality_ratio,deaths,15,computed_from_INRB,NA,NA,NA
17,cases_ituri,cases,299,province_row_ituri,NA,NA,NA
17,cases_nordkivu,cases,19,province_row_nordkivu,NA,NA,NA
17,cases_sudkivu,cases,3,province_row_sudkivu,NA,NA,NA
17,cumulative_confirmed_cases,reference,321,INRB_reference,NA,NA,NA
17,cumulative_deaths,reference,48,INRB_reference,NA,NA,NA
17,deaths_ituri,deaths,46,province_row_ituri,NA,NA,NA
17,deaths_nordkivu,deaths,1,province_row_nordkivu,NA,NA,NA
17,deaths_sudkivu,deaths,1,province_row_sudkivu,NA,NA,NA
17,hz_affected_national,geography,23,total_row_cases_deaths_cfr_hz,NA,NA,NA
17,lab_positivity_rate,laboratory,66.6,tbl_lab_positivity,NA,NA,NA
17,patients_in_isolation,care,129,patients_isolation,NA,NA,NA
17,recovered_today,care,4,recovered_today,NA,NA,NA
17,samples_analyzed,laboratory,18,tbl_samples_analyzed,NA,NA,NA
17,samples_collected,laboratory,65,tbl_samples_collected,NA,NA,NA
17,samples_positive,laboratory,12,tbl_samples_positive,NA,NA,NA
17,suspected_cases_investigation,reference,220,INRB_reference,NA,NA,NA
18,alerts_reported,surveillance,137,tbl_alerts_reported,NA,NA,NA
18,alerts_validated,surveillance,85,tbl_alerts_validated,NA,NA,NA
18,case_fatality_ratio,deaths,17.4,computed_from_INRB,NA,NA,NA
18,cases_ituri,cases,322,province_row_ituri,NA,NA,NA
18,cases_nordkivu,cases,510,province_row_nordkivu,NA,NA,NA
18,cases_sudkivu,cases,150,province_row_sudkivu,NA,NA,NA
18,cumulative_confirmed_cases,reference,344,INRB_reference,NA,NA,NA
18,cumulative_deaths,reference,60,INRB_reference,NA,NA,NA
18,deaths_ituri,deaths,350,province_row_ituri,NA,NA,NA
18,deaths_nordkivu,deaths,301,province_row_nordkivu,NA,NA,NA
18,deaths_sudkivu,deaths,142,province_row_sudkivu,NA,NA,NA
18,hz_affected_national,geography,24,total_row_cases_deaths_cfr_hz,NA,NA,NA
18,lab_positivity_rate,laboratory,30.3,tbl_lab_positivity,NA,NA,NA
18,samples_analyzed,laboratory,76,tbl_samples_analyzed,NA,NA,NA
18,samples_collected,laboratory,76,tbl_samples_collected,NA,NA,NA
18,samples_positive,laboratory,23,tbl_samples_positive,NA,NA,NA
18,suspected_cases_investigation,reference,289,INRB_reference,NA,NA,NA
19,alerts_reported,surveillance,158,tbl_alerts_reported,NA,NA,NA
19,alerts_validated,surveillance,122,tbl_alerts_validated,NA,NA,NA
19,case_fatality_ratio,deaths,17.1,computed_from_INRB,NA,NA,NA
19,cases_ituri,cases,341,province_row_ituri,NA,NA,NA
19,cases_nordkivu,cases,519,province_row_nordkivu,NA,NA,NA
19,cases_sudkivu,cases,137,province_row_sudkivu,NA,NA,NA
19,cumulative_confirmed_cases,reference,363,INRB_reference,NA,NA,NA
19,cumulative_deaths,reference,62,INRB_reference,NA,NA,NA
19,deaths_ituri,deaths,637,province_row_ituri,NA,NA,NA
19,deaths_nordkivu,deaths,326,province_row_nordkivu,NA,NA,NA
19,deaths_sudkivu,deaths,131,province_row_sudkivu,NA,NA,NA
19,suspected_cases_investigation,reference,206,INRB_reference,NA,NA,NA
20,alerts_reported,surveillance,166,tbl_alerts_reported,NA,NA,NA
20,alerts_validated,surveillance,141,tbl_alerts_validated,NA,NA,NA
20,case_fatality_ratio,deaths,16.8,computed_from_INRB,NA,NA,NA
20,cases_ituri,cases,359,province_row_ituri,NA,NA,NA
20,cases_nordkivu,cases,533,province_row_nordkivu,NA,NA,NA
20,cases_sudkivu,cases,181,province_row_sudkivu,NA,NA,NA
20,cumulative_confirmed_cases,reference,381,INRB_reference,NA,NA,NA
20,cumulative_deaths,reference,64,INRB_reference,NA,NA,NA
20,deaths_ituri,deaths,837,province_row_ituri,NA,NA,NA
20,deaths_nordkivu,deaths,343,province_row_nordkivu,NA,NA,NA
20,deaths_sudkivu,deaths,150,province_row_sudkivu,NA,NA,NA
20,hz_affected_ituri,geography,17,hz_affected_ituri,NA,NA,NA
20,hz_affected_nordkivu,geography,7,hz_affected_nordkivu,NA,NA,NA
20,hz_affected_sudkivu,geography,1,hz_affected_sudkivu,NA,NA,NA
21,alerts_reported,surveillance,146,tbl_alerts_reported,NA,NA,NA
21,alerts_validated,surveillance,104,tbl_alerts_validated,NA,NA,NA
21,case_fatality_ratio,deaths,18.1,computed_from_INRB,NA,NA,NA
21,cases_ituri,cases,424,province_row_ituri,NA,NA,NA
