sitrep_no,indicator_code,domain,value,value_source,source_type,extraction_rule,priority,evidence,extracted_at,candidate_flag,qc_valid,qc_note
2,contacts_followed_up,contacts,157,observed,full_text,narr_contacts_followed,4,"16ième Epidémie de la maladie à Virus Ebola/ MVE_RDC Centre des opérations d’urgences de sante publique « COUSP-RDC » Système de Gestion d’Incident / SGI Maladie à Virus EBOLA / MVE Rapport de Situation Maladie à Virus Ebola Sitrep MVE N° 002/MVE_16/2025 Pays/Province : RDC / Kasaï Date de rédaction : 06 Sept 2025 Zone de santé : BULAPE et MWEKA Période couverte : 01 Sept – 05 Sept 2025 1. Résumé de la situation - Nouveau cas suspects du 06 septembre 2025 : 04 - Nombre total de cas signalés à ce jour : 42 ZS BULAPE ZS MWEKA TOTAL Nouveau cas du jour 4 0 4 Total de cas signalés 38(90 ,5%) 4(9,5%) 42 Cas confirmés 5 0 5 Non cas 1 4 5 Cas probables ND ND ND Cas suspects 32 0 32 - Décès cumulés : 15 (Létalité : 38%) - Cas actifs en soins : 09 (6 hommes et 3 femmes) - Cas guéris : 00 - Nombre de contacts listés : 157 (19,1% suivis) - Risque global actuel : Élevé / Modéré / Faible 2. Chronologie des faits marquants - 20 aout 2025 : Notification du premier cas dans la ZS de BULAPE, décédé le même jour - 26 aout 2025 : Notification du deuxième cas, technicien de laboratoire ayant prélevé le 1er cas dans la ZS de BULAPE, décédé le 28 Aout 2025 - 27 aout 2025 : Notification du troisième cas, infirmière ayant soigné le 1er cas dans la ZS de BULAPE, décédé le 1er septembre 2025 - 30 aout 2025 : COUSP National alerté et passe immédiatement en mode alerte. - 03 septembre 2025 : Déploiement de la première équipe d’intervention rapide (EIR). - 04 septembre 2025 : Confirmation de l’épidémie par le laboratoire INRB/Kinshasa - 04 septembre 2025 : Déclaration de l’épidémie par le Ministre - 04 septembre 2025 : Activation du COUSP en mode réponse 3. Données épidémiologiques Indicateurs Semaine 36 Cumul S34-36 Cas notifiés 28 43 Cas confirmés 05 05 Cas probables 00 00 Décès 4 15 Guéris 00 00 Contacts listés 157 157 Contacts suivis (%) 19% 19% adelofungola2@gmail.com _+243810766007_Surveillance_COUSP/RDC 4. Analyse de la situation Facteurs aggravants : Enterrements non sécurisés, Facteurs atténuants : Présence d’équipes d’intervention Non maîtrise du suivi des contacts (19%), Mouvements rapide (COUSP, OMS, MSF, US_CDC, DPS et ZS), Appui de populations (contacts fuyant vers autres ZS). en EPI, vaccins disponible 2000 doses, labos mobile sur terrain, prise en charge des cas à l’Hôpital de BULAPE 5. Réponse en cours  Tenue de la réunion stratégique préside le Ministre et finalisation de plan de réponse par le COUSP et les différentes parties prenantes  Surveillance & alerte : beaucoup d’alerte communautaire l’équipe est limitée pour le transport des malades, il y a encore des cas dans la communauté.  Prise en charge : Prise en charge de 9 cas à l’HGR BULAPA et Début de l’installation de CTE normé à l’hôpital général de BULAPE.  Laboratoire : Tous les cas de la ZS de MWEKA ont été testés négatif  Communication & mobilisation communautaire : Sensibilisation des prestataires des soins  Vaccination : 2000 doses disponibles à Kinshasa, vaccination des intervenants à déployer prévu le 07 sept au COUSP Kinshasa  Enterrements dignes & sécurisés : zéro réalisé / 15 signalés non sécurisés. 6. Besoins / Gaps  Ressources humaines supplémentaires (EIR, surveillance, PCI) et renforcement des capacités des équipes locales (ZS MWEKA, DPS KASAI, ZS BULAPE)  Logistique (EPI, véhicules, carburant).  Appui psychosocial et communication communautaire.  Renforcement des enterrements sécurisés.  Suivi inter-ZS pour les contacts migrants. 7. Prochaines étapes / Recommandations  Intensifier la recherche active des cas et la surveillance à base communautaire.  Renforcer le suivi des contacts et réduire les pertes de suivi.  Mobiliser les leaders communautaires pour améliorer l’acceptabilité.  Accroître la capacité de diagnostic rapide (labs mobiles, transport échantillons).  Déployer des équipes dans les ZS voisines pour anticiper la propagation Pour toute information supplémentaire, veuillez contacter: Pour l’Institut National de la Santé Publique (INSP) de la RDC Le Directeur Général de l’INSP Dr MWAMBA KAZADI Dieudonné Tel. : +243 816 040 145 E-mail : dieudonnemwambakazadi@gmail.com Le Coordonnateur COU-SP Prof NGANDU Christian Tél. : +243998091915 E-mail : nganduchristian@ymail.com Pour l’Organisation Mondiale de la Santé (OMS) Le Représentant de l’OMS en RDC : Dr Jean Baptiste NIKIEMA E-mail : nikiemaje@who.int Le Team Lead Cluster EPR de l’OMS en RDC : Dr Mouctar Diallo E-mail : dialloam@who.int adelofungola2@gmail.com _+243810766007_Surveillance_COUSP/RDC",2026-06-25 17:00:21.714824,candidate_ok,TRUE,selected_observed_candidate
2,contacts_listed,contacts,0,observed,full_text,box_contacts_listed,6,"16ième Epidémie de la maladie à Virus Ebola/ MVE_RDC Centre des opérations d’urgences de sante publique « COUSP-RDC » Système de Gestion d’Incident / SGI Maladie à Virus EBOLA / MVE Rapport de Situation Maladie à Virus Ebola Sitrep MVE N° 002/MVE_16/2025 Pays/Province : RDC / Kasaï Date de rédaction : 06 Sept 2025 Zone de santé : BULAPE et MWEKA Période couverte : 01 Sept – 05 Sept 2025 1. Résumé de la situation - Nouveau cas suspects du 06 septembre 2025 : 04 - Nombre total de cas signalés à ce jour : 42 ZS BULAPE ZS MWEKA TOTAL Nouveau cas du jour 4 0 4 Total de cas signalés 38(90 ,5%) 4(9,5%) 42 Cas confirmés 5 0 5 Non cas 1 4 5 Cas probables ND ND ND Cas suspects 32 0 32 - Décès cumulés : 15 (Létalité : 38%) - Cas actifs en soins : 09 (6 hommes et 3 femmes) - Cas guéris : 00 - Nombre de contacts listés : 157 (19,1% suivis) - Risque global actuel : Élevé / Modéré / Faible 2. Chronologie des faits marquants - 20 aout 2025 : Notification du premier cas dans la ZS de BULAPE, décédé le même jour - 26 aout 2025 : Notification du deuxième cas, technicien de laboratoire ayant prélevé le 1er cas dans la ZS de BULAPE, décédé le 28 Aout 2025 - 27 aout 2025 : Notification du troisième cas, infirmière ayant soigné le 1er cas dans la ZS de BULAPE, décédé le 1er septembre 2025 - 30 aout 2025 : COUSP National alerté et passe immédiatement en mode alerte. - 03 septembre 2025 : Déploiement de la première équipe d’intervention rapide (EIR). - 04 septembre 2025 : Confirmation de l’épidémie par le laboratoire INRB/Kinshasa - 04 septembre 2025 : Déclaration de l’épidémie par le Ministre - 04 septembre 2025 : Activation du COUSP en mode réponse 3. Données épidémiologiques Indicateurs Semaine 36 Cumul S34-36 Cas notifiés 28 43 Cas confirmés 05 05 Cas probables 00 00 Décès 4 15 Guéris 00 00 Contacts listés 157 157 Contacts suivis (%) 19% 19% adelofungola2@gmail.com _+243810766007_Surveillance_COUSP/RDC 4. Analyse de la situation Facteurs aggravants : Enterrements non sécurisés, Facteurs atténuants : Présence d’équipes d’intervention Non maîtrise du suivi des contacts (19%), Mouvements rapide (COUSP, OMS, MSF, US_CDC, DPS et ZS), Appui de populations (contacts fuyant vers autres ZS). en EPI, vaccins disponible 2000 doses, labos mobile sur terrain, prise en charge des cas à l’Hôpital de BULAPE 5. Réponse en cours  Tenue de la réunion stratégique préside le Ministre et finalisation de plan de réponse par le COUSP et les différentes parties prenantes  Surveillance & alerte : beaucoup d’alerte communautaire l’équipe est limitée pour le transport des malades, il y a encore des cas dans la communauté.  Prise en charge : Prise en charge de 9 cas à l’HGR BULAPA et Début de l’installation de CTE normé à l’hôpital général de BULAPE.  Laboratoire : Tous les cas de la ZS de MWEKA ont été testés négatif  Communication & mobilisation communautaire : Sensibilisation des prestataires des soins  Vaccination : 2000 doses disponibles à Kinshasa, vaccination des intervenants à déployer prévu le 07 sept au COUSP Kinshasa  Enterrements dignes & sécurisés : zéro réalisé / 15 signalés non sécurisés. 6. Besoins / Gaps  Ressources humaines supplémentaires (EIR, surveillance, PCI) et renforcement des capacités des équipes locales (ZS MWEKA, DPS KASAI, ZS BULAPE)  Logistique (EPI, véhicules, carburant).  Appui psychosocial et communication communautaire.  Renforcement des enterrements sécurisés.  Suivi inter-ZS pour les contacts migrants. 7. Prochaines étapes / Recommandations  Intensifier la recherche active des cas et la surveillance à base communautaire.  Renforcer le suivi des contacts et réduire les pertes de suivi.  Mobiliser les leaders communautaires pour améliorer l’acceptabilité.  Accroître la capacité de diagnostic rapide (labs mobiles, transport échantillons).  Déployer des équipes dans les ZS voisines pour anticiper la propagation Pour toute information supplémentaire, veuillez contacter: Pour l’Institut National de la Santé Publique (INSP) de la RDC Le Directeur Général de l’INSP Dr MWAMBA KAZADI Dieudonné Tel. : +243 816 040 145 E-mail : dieudonnemwambakazadi@gmail.com Le Coordonnateur COU-SP Prof NGANDU Christian Tél. : +243998091915 E-mail : nganduchristian@ymail.com Pour l’Organisation Mondiale de la Santé (OMS) Le Représentant de l’OMS en RDC : Dr Jean Baptiste NIKIEMA E-mail : nikiemaje@who.int Le Team Lead Cluster EPR de l’OMS en RDC : Dr Mouctar Diallo E-mail : dialloam@who.int adelofungola2@gmail.com _+243810766007_Surveillance_COUSP/RDC",2026-06-25 17:00:21.702669,candidate_ok,TRUE,selected_observed_candidate
2,cumulative_confirmed_cases,cases,42,observed,full_text,box_horizontal_cases_safe,6,"16ième Epidémie de la maladie à Virus Ebola/ MVE_RDC Centre des opérations d’urgences de sante publique « COUSP-RDC » Système de Gestion d’Incident / SGI Maladie à Virus EBOLA / MVE Rapport de Situation Maladie à Virus Ebola Sitrep MVE N° 002/MVE_16/2025 Pays/Province : RDC / Kasaï Date de rédaction : 06 Sept 2025 Zone de santé : BULAPE et MWEKA Période couverte : 01 Sept – 05 Sept 2025 1. Résumé de la situation - Nouveau cas suspects du 06 septembre 2025 : 04 - Nombre total de cas signalés à ce jour : 42 ZS BULAPE ZS MWEKA TOTAL Nouveau cas du jour 4 0 4 Total de cas signalés 38(90 ,5%) 4(9,5%) 42 Cas confirmés 5 0 5 Non cas 1 4 5 Cas probables ND ND ND Cas suspects 32 0 32 - Décès cumulés : 15 (Létalité : 38%) - Cas actifs en soins : 09 (6 hommes et 3 femmes) - Cas guéris : 00 - Nombre de contacts listés : 157 (19,1% suivis) - Risque global actuel : Élevé / Modéré / Faible 2. Chronologie des faits marquants - 20 aout 2025 : Notification du premier cas dans la ZS de BULAPE, décédé le même jour - 26 aout 2025 : Notification du deuxième cas, technicien de laboratoire ayant prélevé le 1er cas dans la ZS de BULAPE, décédé le 28 Aout 2025 - 27 aout 2025 : Notification du troisième cas, infirmière ayant soigné le 1er cas dans la ZS de BULAPE, décédé le 1er septembre 2025 - 30 aout 2025 : COUSP National alerté et passe immédiatement en mode alerte. - 03 septembre 2025 : Déploiement de la première équipe d’intervention rapide (EIR). - 04 septembre 2025 : Confirmation de l’épidémie par le laboratoire INRB/Kinshasa - 04 septembre 2025 : Déclaration de l’épidémie par le Ministre - 04 septembre 2025 : Activation du COUSP en mode réponse 3. Données épidémiologiques Indicateurs Semaine 36 Cumul S34-36 Cas notifiés 28 43 Cas confirmés 05 05 Cas probables 00 00 Décès 4 15 Guéris 00 00 Contacts listés 157 157 Contacts suivis (%) 19% 19% adelofungola2@gmail.com _+243810766007_Surveillance_COUSP/RDC 4. Analyse de la situation Facteurs aggravants : Enterrements non sécurisés, Facteurs atténuants : Présence d’équipes d’intervention Non maîtrise du suivi des contacts (19%), Mouvements rapide (COUSP, OMS, MSF, US_CDC, DPS et ZS), Appui de populations (contacts fuyant vers autres ZS). en EPI, vaccins disponible 2000 doses, labos mobile sur terrain, prise en charge des cas à l’Hôpital de BULAPE 5. Réponse en cours  Tenue de la réunion stratégique préside le Ministre et finalisation de plan de réponse par le COUSP et les différentes parties prenantes  Surveillance & alerte : beaucoup d’alerte communautaire l’équipe est limitée pour le transport des malades, il y a encore des cas dans la communauté.  Prise en charge : Prise en charge de 9 cas à l’HGR BULAPA et Début de l’installation de CTE normé à l’hôpital général de BULAPE.  Laboratoire : Tous les cas de la ZS de MWEKA ont été testés négatif  Communication & mobilisation communautaire : Sensibilisation des prestataires des soins  Vaccination : 2000 doses disponibles à Kinshasa, vaccination des intervenants à déployer prévu le 07 sept au COUSP Kinshasa  Enterrements dignes & sécurisés : zéro réalisé / 15 signalés non sécurisés. 6. Besoins / Gaps  Ressources humaines supplémentaires (EIR, surveillance, PCI) et renforcement des capacités des équipes locales (ZS MWEKA, DPS KASAI, ZS BULAPE)  Logistique (EPI, véhicules, carburant).  Appui psychosocial et communication communautaire.  Renforcement des enterrements sécurisés.  Suivi inter-ZS pour les contacts migrants. 7. Prochaines étapes / Recommandations  Intensifier la recherche active des cas et la surveillance à base communautaire.  Renforcer le suivi des contacts et réduire les pertes de suivi.  Mobiliser les leaders communautaires pour améliorer l’acceptabilité.  Accroître la capacité de diagnostic rapide (labs mobiles, transport échantillons).  Déployer des équipes dans les ZS voisines pour anticiper la propagation Pour toute information supplémentaire, veuillez contacter: Pour l’Institut National de la Santé Publique (INSP) de la RDC Le Directeur Général de l’INSP Dr MWAMBA KAZADI Dieudonné Tel. : +243 816 040 145 E-mail : dieudonnemwambakazadi@gmail.com Le Coordonnateur COU-SP Prof NGANDU Christian Tél. : +243998091915 E-mail : nganduchristian@ymail.com Pour l’Organisation Mondiale de la Santé (OMS) Le Représentant de l’OMS en RDC : Dr Jean Baptiste NIKIEMA E-mail : nikiemaje@who.int Le Team Lead Cluster EPR de l’OMS en RDC : Dr Mouctar Diallo E-mail : dialloam@who.int adelofungola2@gmail.com _+243810766007_Surveillance_COUSP/RDC",2026-06-25 17:00:21.693157,candidate_ok,TRUE,selected_observed_candidate
4,alerts_validated,surveillance,16,observed,text_line,tbl_alerts_validated,3,Alertes validées 16 21 4 9 1 2 ND ND 53,2026-06-25 17:00:23.759712,candidate_ok,TRUE,selected_observed_candidate
4,case_fatality_ratio,deaths,33,observed,text_line,total_row_cases_deaths_cfr,2,Total 516 131 33 541,2026-06-25 17:00:23.44045,candidate_ok,TRUE,selected_observed_candidate
4,cumulative_confirmed_cases,cases,516,observed,text_line,total_row_cases_deaths_cfr,2,Total 516 131 33 541,2026-06-25 17:00:23.435077,candidate_ok,TRUE,selected_observed_candidate
4,cumulative_deaths,deaths,131,observed,text_line,total_row_cases_deaths_cfr,2,Total 516 131 33 541,2026-06-25 17:00:23.437805,candidate_ok,TRUE,selected_observed_candidate
4,samples_received,laboratory,27,observed,text_line,narr_samples_received,4,• Echantillons reçus : 27 (Nouveaux cas suspects),2026-06-25 17:00:24.087485,candidate_ok,TRUE,selected_observed_candidate
5,case_fatality_ratio,deaths,51,observed,text_line,total_row_cases_deaths_cfr,2,Total 575 148 51 847,2026-06-25 17:00:27.645333,candidate_ok,TRUE,selected_observed_candidate
5,cumulative_confirmed_cases,cases,575,observed,text_line,total_row_cases_deaths_cfr,2,Total 575 148 51 847,2026-06-25 17:00:27.640101,candidate_ok,TRUE,selected_observed_candidate
