"sitrep_no","page_url","status","file"
41,"https://insp.cd/sitrep-n041-mvb_24-06-2026","present","D:/PREIS_Ebola_DRC_Sitrep_FV_12.06.26/data/pdf/PREIS_DRC_Ebola_SitRep_041.pdf"
42,"https://insp.cd/sitrep-n042-mvb_25-06-2026","present","D:/PREIS_Ebola_DRC_Sitrep_FV_12.06.26/data/pdf/PREIS_DRC_Ebola_SitRep_042.pdf"
44,"https://insp.cd/sitrep-n044-mvb_27-06-2026","present","D:/PREIS_Ebola_DRC_Sitrep_FV_12.06.26/data/pdf/PREIS_DRC_Ebola_SitRep_044.pdf"
46,"https://insp.cd/sitrep-n046-mvb_29-06-2026","present","D:/PREIS_Ebola_DRC_Sitrep_FV_12.06.26/data/pdf/PREIS_DRC_Ebola_SitRep_046.pdf"
47,"https://insp.cd/sitrep-n047-mvb_30-06-2026","present","D:/PREIS_Ebola_DRC_Sitrep_FV_12.06.26/data/pdf/PREIS_DRC_Ebola_SitRep_047.pdf"
48,"https://insp.cd/sitrep-n48-mvb_01-07-2026","present","D:/PREIS_Ebola_DRC_Sitrep_FV_12.06.26/data/pdf/PREIS_DRC_Ebola_SitRep_048.pdf"
49,"https://insp.cd/sitrep-n049-mvb_02-07-2026","present","D:/PREIS_Ebola_DRC_Sitrep_FV_12.06.26/data/pdf/PREIS_DRC_Ebola_SitRep_049.pdf"
50,"https://insp.cd/sitrep-n050-mvb_02-07-2026","present","D:/PREIS_Ebola_DRC_Sitrep_FV_12.06.26/data/pdf/PREIS_DRC_Ebola_SitRep_050.pdf"
51,"https://insp.cd/sitrep-n051-mvb_04-07-2026","present","D:/PREIS_Ebola_DRC_Sitrep_FV_12.06.26/data/pdf/PREIS_DRC_Ebola_SitRep_051.pdf"
52,"https://insp.cd/sitrep-n052-mvb_05-07-2026","present","D:/PREIS_Ebola_DRC_Sitrep_FV_12.06.26/data/pdf/PREIS_DRC_Ebola_SitRep_052.pdf"
53,"https://insp.cd/sitrep-n053-mvb_06-07-2026","present","D:/PREIS_Ebola_DRC_Sitrep_FV_12.06.26/data/pdf/PREIS_DRC_Ebola_SitRep_053.pdf"
54,"https://insp.cd/sitrep-n054-mvb_07-07-2026","present","D:/PREIS_Ebola_DRC_Sitrep_FV_12.06.26/data/pdf/PREIS_DRC_Ebola_SitRep_054.pdf"
55,"https://insp.cd/sitrep-n055-mvb_08-07-2026","present","D:/PREIS_Ebola_DRC_Sitrep_FV_12.06.26/data/pdf/PREIS_DRC_Ebola_SitRep_055.pdf"
56,"https://insp.cd/sitrep-n056-mvb_09-07-2026","present","D:/PREIS_Ebola_DRC_Sitrep_FV_12.06.26/data/pdf/PREIS_DRC_Ebola_SitRep_056.pdf"
57,"https://insp.cd/sitrep-n057-mvb_10-07-2026","present","D:/PREIS_Ebola_DRC_Sitrep_FV_12.06.26/data/pdf/PREIS_DRC_Ebola_SitRep_057.pdf"
58,"https://insp.cd/sitrep-n058-mvb_11-07-2026","present","D:/PREIS_Ebola_DRC_Sitrep_FV_12.06.26/data/pdf/PREIS_DRC_Ebola_SitRep_058.pdf"
59,"https://insp.cd/sitrep-n059","present","D:/PREIS_Ebola_DRC_Sitrep_FV_12.06.26/data/pdf/PREIS_DRC_Ebola_SitRep_059.pdf"
60,"https://insp.cd/sitrep-n060-mvb-13-07-2026","present","D:/PREIS_Ebola_DRC_Sitrep_FV_12.06.26/data/pdf/PREIS_DRC_Ebola_SitRep_060.pdf"
