sitrep_no,sent_utc
74,2026-07-29 17:40:03 UTC
77,2026-08-01 04:42:18 UTC
81,2026-08-06 23:37:03 UTC
82,2026-08-09 09:02:35 UTC
85,2026-08-09 18:56:40 UTC
89,2026-08-13 13:32:58 UTC
90,2026-08-14 11:03:06 UTC
91,2026-08-14 20:32:42 UTC
92,2026-08-15 22:32:38 UTC
93,2026-08-19 08:35:02 UTC
96,2026-08-20 15:32:56 UTC
97,2026-08-21 08:54:14 UTC
98,2026-08-22 10:55:25 UTC
99,2026-08-23 19:31:22 UTC
100,2026-08-23 20:02:45 UTC
101,2026-08-25 13:02:39 UTC
102,2026-08-25 23:54:21 UTC
103,2026-08-26 19:32:39 UTC
104,2026-08-28 11:32:44 UTC
105,2026-08-29 08:02:41 UTC
106,2026-08-29 21:42:21 UTC
107,2026-08-31 13:02:45 UTC
108,2026-08-31 19:32:42 UTC
109,2026-09-02 06:02:43 UTC
110,2026-09-03 12:56:53 UTC
111,2026-09-04 07:03:16 UTC
112,2026-09-05 08:02:37 UTC
113,2026-09-05 20:02:45 UTC
