sitrep_no,sent_utc
62,2026-07-17 21:04:26 UTC
64,2026-07-19 17:51:10 UTC
65,2026-07-20 09:43:50 UTC
66,2026-07-21 20:22:26 UTC
67,2026-07-22 09:14:27 UTC
68,2026-07-23 00:13:44 UTC
69,2026-07-24 09:40:14 UTC
70,2026-07-25 07:10:50 UTC
71,2026-07-25 23:10:18 UTC
72,2026-07-26 23:09:11 UTC
73,2026-07-28 03:36:01 UTC
74,2026-07-29 16:00:58 UTC
77,2026-08-01 05:12:53 UTC
78,2026-08-01 22:42:09 UTC
79,2026-08-02 21:41:43 UTC
80,2026-08-03 23:23:21 UTC
81,2026-08-04 20:45:26 UTC
82,2026-08-09 03:46:18 UTC
85,2026-08-09 18:56:32 UTC
89,2026-08-13 13:32:50 UTC
90,2026-08-14 11:02:59 UTC
91,2026-08-14 20:32:34 UTC
92,2026-08-15 22:32:28 UTC
93,2026-08-19 08:34:54 UTC
96,2026-08-20 15:32:50 UTC
97,2026-08-21 08:54:06 UTC
