sitrep_no,page,line_no,line_text
40,1,1,Centre d’Opérations d’Urgence de Santé Publique
40,1,2,« COUSP RDC »
40,1,3,Système de Gestion de l’Incident MVE-17
40,1,5,² Rapport de Situation de la 17 ème Epidémie de la Maladie à Virus EBOLA /RDC
40,1,6,SitRep N°040/MVB_23/06/2026
40,1,8,"Provinces touchées (3) ITURI, NORD-KIVU & SUD-KIVU"
40,1,9," Ituri (22/36) : Aru, Aungba, Bambu, Bunia, Damas, Drodro, Gety, Kilo, Komanda, Lita,"
40,1,10,"Logo, Mambasa, Mangala, Mongbwalu, Nizi, Nyankunde, Rimba, Rwampara, Tchomia,"
40,1,11,"Zones de Santé touchées Kambala, Nia-Nia et Fataki."
40,1,12,"(34)  Nord-Kivu (11/34) : Beni, Butembo, Goma, Kalunguta, Katwa, Kyondo, Oicha,"
40,1,13,"Masereka, Vuhovi, Mabalako et Musienene."
40,1,14, Sud-Kivu (1/34) : Miti-Murhesa
40,1,15,Date de rapportage 23 juin 2026
40,1,16,Date de publication 24 juin 2026
40,1,21,"1 118* 291(26,0%)1 408(81,0%) 122 138(45 décès) ** 77,1%"
40,1,23,Cumul cas confirmés Cumul décès parmi Patients en Cas suspects du Taux de suivi des
40,1,24,isolement - Nombre cumulé
40,1,25,pour les 3 provinces les confirmés et taux jour contacts pour les
40,1,26,hospitalisation des guéris
40,1,27,de létalité 3 provinces
40,1,29,"* Données réactualisées à la suite du processus de nettoyage et d’harmonisation de la base DHIS2, incluant la **Les décès suspects survenus en communauté font l’objet d’une investigation"
40,1,30,"consolidation des informations issues des zones de santé, des laboratoires et des structures de prise en charge des cas. approfondie en vue d’une éventuelle reclassification (Non-cas, cas probables)."
40,1,34,1. FAITS SAILLANTS
40,1,36," Vingt-quatre (24) nouveaux cas confirmés dont 12 décès, ont été rapportés au terme de la journée du"
40,1,37,"23 juin 2026, dans les provinces de l’Ituri (23 dont 12 décès) et Nord-Kivu (1). Ces cas confirmés se"
40,1,38,"répartissent dans les ZS de Bunia (8), Mongbwalu (4), Komanda (3), Mangala (3), Nia-Nia (3) et Lita (2)"
40,1,39,dans la province d’Ituri et Butembo (1) dans la province du Nord-Kivu.
40,1,40, Sept (7) patients atteints de la maladie à virus Ebola en Ituri ont été déclarés guéris après avoir obtenu
40,1,41,des tests de contrôles négatifs.
40,1,43,2. CONTEXTE ÉPIDÉMIOLOGIQUE ET OPÉRATIONNEL
40,1,45,"La province de l'Ituri, située au Nord-Est de la République Démocratique du Congo, partage une frontière longue"
40,1,46,"et poreuse avec l'Ouganda et le Soudan du Sud. Depuis plus de deux décennies, elle est confrontée à une crise"
40,1,47,humanitaire chronique liée aux conflits armés et aux déplacements récurrents de populations. Sa population est
40,1,48,"estimée à plus de 8 millions d'habitants, dont plus d'un million de déplacés internes. La zone de santé de"
40,1,49,"Mongbwalu, considérée comme le point de départ de l'épidémie, est située dans le territoire de Djugu à 70 km"
40,1,50,"de Bunia. Cette zone se caractérise par la présence de groupes armés, des mouvements fréquents de"
40,1,51,"population vers l'Ouganda, et de nombreux chantiers miniers artisanaux attirant des travailleurs migrants. En"
40,1,52,"septembre 2018, la province de l'Ituri avait déjà été touchée par la 10ème épidémie de MVE qui sévissait alors"
40,1,53,"au Nord-Kivu. L'épidémie actuelle, due au Bundibugyo ebolavirus, a été déclarée officiellement le 15 mai 2026"
40,1,54,par le ministre de la Santé Publique. Les trois provinces touchées comptent une population totale estimée à
40,1,55,"près de 15 millions d'habitants, avec des déplacements internes massifs et des flux transfrontaliers vers les"
40,1,56,pays voisins.
