country,iso3,rcc,facility_name,facility_type,source_osm_type,osm_id,lat,lon,source,facility_key,match_key_country_facility
Central African Republic,CAF,Central Africa RCC,Unnamed NA 1,NA,points,1991288702,4.3800729,18.5644879,OpenStreetMap via osmdata,unnamed na 1,central african republic | unnamed na 1
Central African Republic,CAF,Central Africa RCC,Unnamed NA 2,NA,points,1991288715,4.3801584,18.5646728,OpenStreetMap via osmdata,unnamed na 2,central african republic | unnamed na 2
Central African Republic,CAF,Central Africa RCC,Unnamed NA 3,NA,points,1991288724,4.3801891,18.5644337,OpenStreetMap via osmdata,unnamed na 3,central african republic | unnamed na 3
Central African Republic,CAF,Central Africa RCC,Unnamed NA 4,NA,points,1991288727,4.3802107,18.5646484,OpenStreetMap via osmdata,unnamed na 4,central african republic | unnamed na 4
Central African Republic,CAF,Central Africa RCC,Unnamed NA 5,NA,points,1991288728,4.3802083,18.5644754,OpenStreetMap via osmdata,unnamed na 5,central african republic | unnamed na 5
Central African Republic,CAF,Central Africa RCC,Unnamed NA 6,NA,points,1991288739,4.3802372,18.5647054,OpenStreetMap via osmdata,unnamed na 6,central african republic | unnamed na 6
Central African Republic,CAF,Central Africa RCC,Unnamed NA 7,NA,points,1991288762,4.380326,18.564664,OpenStreetMap via osmdata,unnamed na 7,central african republic | unnamed na 7
Central African Republic,CAF,Central Africa RCC,Unnamed NA 8,NA,points,1992833817,4.3639988,18.5893115,OpenStreetMap via osmdata,unnamed na 8,central african republic | unnamed na 8
Central African Republic,CAF,Central Africa RCC,Unnamed NA 9,NA,points,1993982842,4.3710875,18.5753958,OpenStreetMap via osmdata,unnamed na 9,central african republic | unnamed na 9
Central African Republic,CAF,Central Africa RCC,Unnamed NA 10,NA,points,1993982852,4.3710955,18.574893200000002,OpenStreetMap via osmdata,unnamed na 10,central african republic | unnamed na 10
Central African Republic,CAF,Central Africa RCC,Unnamed NA 11,NA,points,1993982900,4.3712187,18.5753979,OpenStreetMap via osmdata,unnamed na 11,central african republic | unnamed na 11
Central African Republic,CAF,Central Africa RCC,Unnamed NA 12,NA,points,1993982919,4.3712314,18.5748954,OpenStreetMap via osmdata,unnamed na 12,central african republic | unnamed na 12
Central African Republic,CAF,Central Africa RCC,Unnamed NA 13,NA,points,1993982947,4.3713035,18.5759272,OpenStreetMap via osmdata,unnamed na 13,central african republic | unnamed na 13
Central African Republic,CAF,Central Africa RCC,Unnamed NA 14,NA,points,1993982952,4.371306,18.5757732,OpenStreetMap via osmdata,unnamed na 14,central african republic | unnamed na 14
Central African Republic,CAF,Central Africa RCC,Unnamed NA 15,NA,points,1993982997,4.3714434,18.5753535,OpenStreetMap via osmdata,unnamed na 15,central african republic | unnamed na 15
Central African Republic,CAF,Central Africa RCC,Unnamed NA 16,NA,points,1993983001,4.3714427,18.5752823,OpenStreetMap via osmdata,unnamed na 16,central african republic | unnamed na 16
Central African Republic,CAF,Central Africa RCC,Unnamed NA 17,NA,points,1993983008,4.3715179,18.5764503,OpenStreetMap via osmdata,unnamed na 17,central african republic | unnamed na 17
Central African Republic,CAF,Central Africa RCC,Unnamed NA 18,NA,points,1993983010,4.3715262,18.5759308,OpenStreetMap via osmdata,unnamed na 18,central african republic | unnamed na 18
Central African Republic,CAF,Central Africa RCC,Unnamed NA 19,NA,points,1993983013,4.3715254,18.5759764,OpenStreetMap via osmdata,unnamed na 19,central african republic | unnamed na 19
Central African Republic,CAF,Central Africa RCC,Unnamed NA 20,NA,points,1993983038,4.3716167,18.5763166,OpenStreetMap via osmdata,unnamed na 20,central african republic | unnamed na 20
Central African Republic,CAF,Central Africa RCC,Unnamed NA 21,NA,points,1993983112,4.3718257,18.5764552,OpenStreetMap via osmdata,unnamed na 21,central african republic | unnamed na 21
Central African Republic,CAF,Central Africa RCC,Unnamed NA 22,NA,points,1993983114,4.3718278,18.57632,OpenStreetMap via osmdata,unnamed na 22,central african republic | unnamed na 22
Central African Republic,CAF,Central Africa RCC,Unnamed NA 23,NA,points,1993983126,4.3719099,18.5759464,OpenStreetMap via osmdata,unnamed na 23,central african republic | unnamed na 23
Central African Republic,CAF,Central Africa RCC,Unnamed NA 24,NA,points,1993983127,4.3719087,18.576021,OpenStreetMap via osmdata,unnamed na 24,central african republic | unnamed na 24
Central African Republic,CAF,Central Africa RCC,Unnamed NA 25,NA,points,1993983133,4.3719266,18.5757792,OpenStreetMap via osmdata,unnamed na 25,central african republic | unnamed na 25
Central African Republic,CAF,Central Africa RCC,Unnamed NA 26,NA,points,1993983135,4.3719272,18.5757394,OpenStreetMap via osmdata,unnamed na 26,central african republic | unnamed na 26
Central African Republic,CAF,Central Africa RCC,Unnamed NA 27,NA,points,1993983150,4.3720276,18.575741,OpenStreetMap via osmdata,unnamed na 27,central african republic | unnamed na 27
Central African Republic,CAF,Central Africa RCC,Unnamed NA 28,NA,points,1993983152,4.3720231,18.5760228,OpenStreetMap via osmdata,unnamed na 28,central african republic | unnamed na 28
Central African Republic,CAF,Central Africa RCC,Unnamed NA 29,NA,points,1995127821,4.3872672,18.556372,OpenStreetMap via osmdata,unnamed na 29,central african republic | unnamed na 29
Central African Republic,CAF,Central Africa RCC,Unnamed NA 30,NA,points,1995127856,4.3874903,18.5569015,OpenStreetMap via osmdata,unnamed na 30,central african republic | unnamed na 30
Central African Republic,CAF,Central Africa RCC,Unnamed NA 31,NA,points,1995127884,4.3876463,18.5568959,OpenStreetMap via osmdata,unnamed na 31,central african republic | unnamed na 31
Central African Republic,CAF,Central Africa RCC,Unnamed NA 32,NA,points,1995127899,4.3877426,18.556794,OpenStreetMap via osmdata,unnamed na 32,central african republic | unnamed na 32
Central African Republic,CAF,Central Africa RCC,Unnamed NA 33,NA,points,1995127901,4.3877644,18.5568458,OpenStreetMap via osmdata,unnamed na 33,central african republic | unnamed na 33
Central African Republic,CAF,Central Africa RCC,Unnamed NA 34,NA,points,1995127921,4.387887,18.5567329,OpenStreetMap via osmdata,unnamed na 34,central african republic | unnamed na 34
Central African Republic,CAF,Central Africa RCC,Unnamed NA 35,NA,points,1998553956,4.3917597,18.5607992,OpenStreetMap via osmdata,unnamed na 35,central african republic | unnamed na 35
Central African Republic,CAF,Central Africa RCC,Unnamed NA 36,NA,points,1998553989,4.3918585,18.5609735,OpenStreetMap via osmdata,unnamed na 36,central african republic | unnamed na 36
Central African Republic,CAF,Central Africa RCC,Unnamed NA 37,NA,points,1998554003,4.3919164,18.5609404,OpenStreetMap via osmdata,unnamed na 37,central african republic | unnamed na 37
Central African Republic,CAF,Central Africa RCC,Unnamed NA 38,NA,points,1998554009,4.391934,18.5609715,OpenStreetMap via osmdata,unnamed na 38,central african republic | unnamed na 38
Central African Republic,CAF,Central Africa RCC,Unnamed NA 39,NA,points,1998554019,4.3919693,18.5609105,OpenStreetMap via osmdata,unnamed na 39,central african republic | unnamed na 39
Central African Republic,CAF,Central Africa RCC,Unnamed NA 40,NA,points,1998554023,4.3919793,18.560674,OpenStreetMap via osmdata,unnamed na 40,central african republic | unnamed na 40
Central African Republic,CAF,Central Africa RCC,Unnamed NA 41,NA,points,1998554025,4.3919868,18.5609414,OpenStreetMap via osmdata,unnamed na 41,central african republic | unnamed na 41
Central African Republic,CAF,Central Africa RCC,Unnamed NA 42,NA,points,1998554043,4.3920782,18.5608485,OpenStreetMap via osmdata,unnamed na 42,central african republic | unnamed na 42
Central African Republic,CAF,Central Africa RCC,Unnamed NA 43,NA,points,2001132097,4.3719965,18.534165,OpenStreetMap via osmdata,unnamed na 43,central african republic | unnamed na 43
Central African Republic,CAF,Central Africa RCC,Unnamed NA 44,NA,points,2002478096,4.3968144,18.5575775,OpenStreetMap via osmdata,unnamed na 44,central african republic | unnamed na 44
Central African Republic,CAF,Central Africa RCC,Unnamed NA 45,NA,points,2002478138,4.3969418,18.5577957,OpenStreetMap via osmdata,unnamed na 45,central african republic | unnamed na 45
Central African Republic,CAF,Central Africa RCC,Unnamed NA 46,NA,points,2002478242,4.3970515,18.5576233,OpenStreetMap via osmdata,unnamed na 46,central african republic | unnamed na 46
Central African Republic,CAF,Central Africa RCC,Unnamed NA 47,NA,points,2002478285,4.3970867,18.5576026,OpenStreetMap via osmdata,unnamed na 47,central african republic | unnamed na 47
Central African Republic,CAF,Central Africa RCC,Unnamed NA 48,NA,points,2002478319,4.3971336,18.557683,OpenStreetMap via osmdata,unnamed na 48,central african republic | unnamed na 48
Central African Republic,CAF,Central Africa RCC,Unnamed NA 49,NA,points,2012562967,4.4137906,18.5402592,OpenStreetMap via osmdata,unnamed na 49,central african republic | unnamed na 49
Central African Republic,CAF,Central Africa RCC,Unnamed NA 50,NA,points,2012562970,4.413792,18.5402247,OpenStreetMap via osmdata,unnamed na 50,central african republic | unnamed na 50
Central African Republic,CAF,Central Africa RCC,Unnamed NA 51,NA,points,2012562971,4.4138161,18.5402257,OpenStreetMap via osmdata,unnamed na 51,central african republic | unnamed na 51
Central African Republic,CAF,Central Africa RCC,Unnamed NA 52,NA,points,2012562973,4.4138194,18.5401426,OpenStreetMap via osmdata,unnamed na 52,central african republic | unnamed na 52
Central African Republic,CAF,Central Africa RCC,Unnamed NA 53,NA,points,2012562987,4.4138564,18.5402619,OpenStreetMap via osmdata,unnamed na 53,central african republic | unnamed na 53
Central African Republic,CAF,Central Africa RCC,Unnamed NA 54,NA,points,2012562990,4.4138577,18.5402294,OpenStreetMap via osmdata,unnamed na 54,central african republic | unnamed na 54
Central African Republic,CAF,Central Africa RCC,Unnamed NA 55,NA,points,2012562999,4.4138887,18.5401454,OpenStreetMap via osmdata,unnamed na 55,central african republic | unnamed na 55
Central African Republic,CAF,Central Africa RCC,Unnamed NA 56,NA,points,2012563001,4.4138908,18.5400941,OpenStreetMap via osmdata,unnamed na 56,central african republic | unnamed na 56
Central African Republic,CAF,Central Africa RCC,Unnamed NA 57,NA,points,2012563010,4.413915,18.540095,OpenStreetMap via osmdata,unnamed na 57,central african republic | unnamed na 57
Central African Republic,CAF,Central Africa RCC,Unnamed NA 58,NA,points,2012563013,4.4139212,18.5399411,OpenStreetMap via osmdata,unnamed na 58,central african republic | unnamed na 58
Central African Republic,CAF,Central Africa RCC,Unnamed NA 59,NA,points,2012563033,4.4140035,18.5402354,OpenStreetMap via osmdata,unnamed na 59,central african republic | unnamed na 59
Central African Republic,CAF,Central Africa RCC,Unnamed NA 60,NA,points,2015291852,4.3245216,18.52182,OpenStreetMap via osmdata,unnamed na 60,central african republic | unnamed na 60
Central African Republic,CAF,Central Africa RCC,Unnamed NA 61,NA,points,2015343493,4.323766,18.5225147,OpenStreetMap via osmdata,unnamed na 61,central african republic | unnamed na 61
Central African Republic,CAF,Central Africa RCC,Unnamed NA 62,NA,points,2038027709,4.3494008,18.5197806,OpenStreetMap via osmdata,unnamed na 62,central african republic | unnamed na 62
Central African Republic,CAF,Central Africa RCC,Unnamed NA 63,NA,points,2038027714,4.3494447,18.5200255,OpenStreetMap via osmdata,unnamed na 63,central african republic | unnamed na 63
Central African Republic,CAF,Central Africa RCC,Unnamed NA 64,NA,points,2038027732,4.3496336,18.5199914,OpenStreetMap via osmdata,unnamed na 64,central african republic | unnamed na 64
Central African Republic,CAF,Central Africa RCC,Unnamed NA 65,NA,points,2050420700,4.4081582,18.5522463,OpenStreetMap via osmdata,unnamed na 65,central african republic | unnamed na 65
Central African Republic,CAF,Central Africa RCC,Unnamed NA 66,NA,points,2050420809,4.4086666,18.554405,OpenStreetMap via osmdata,unnamed na 66,central african republic | unnamed na 66
Central African Republic,CAF,Central Africa RCC,Unnamed NA 67,NA,points,2050421363,4.4096309,18.5518862,OpenStreetMap via osmdata,unnamed na 67,central african republic | unnamed na 67
Central African Republic,CAF,Central Africa RCC,Unnamed NA 68,NA,points,2050421466,4.4101309,18.5540591,OpenStreetMap via osmdata,unnamed na 68,central african republic | unnamed na 68
Central African Republic,CAF,Central Africa RCC,Unnamed NA 69,NA,points,2051915447,4.3712192,18.5753702,OpenStreetMap via osmdata,unnamed na 69,central african republic | unnamed na 69
Central African Republic,CAF,Central Africa RCC,Unnamed NA 70,NA,points,2051915449,4.3716227,18.5759418,OpenStreetMap via osmdata,unnamed na 70,central african republic | unnamed na 70
Central African Republic,CAF,Central Africa RCC,Unnamed NA 71,NA,points,2051919383,4.3712253,18.5752788,OpenStreetMap via osmdata,unnamed na 71,central african republic | unnamed na 71
Central African Republic,CAF,Central Africa RCC,Unnamed NA 72,NA,points,2051919385,4.371329,18.5757736,OpenStreetMap via osmdata,unnamed na 72,central african republic | unnamed na 72
Central African Republic,CAF,Central Africa RCC,Unnamed NA 73,NA,points,2051919387,4.3713354,18.575372,OpenStreetMap via osmdata,unnamed na 73,central african republic | unnamed na 73
Central African Republic,CAF,Central Africa RCC,Unnamed NA 74,NA,points,2051919389,4.3714368,18.5757713,OpenStreetMap via osmdata,unnamed na 74,central african republic | unnamed na 74
Central African Republic,CAF,Central Africa RCC,Unnamed NA 75,NA,points,2051919391,4.3714415,18.5753535,OpenStreetMap via osmdata,unnamed na 75,central african republic | unnamed na 75
Central African Republic,CAF,Central Africa RCC,Unnamed NA 76,NA,points,2051954945,4.3876247,18.5568445,OpenStreetMap via osmdata,unnamed na 76,central african republic | unnamed na 76
Central African Republic,CAF,Central Africa RCC,Unnamed NA 77,NA,points,2051961993,4.3719762,18.5737708,OpenStreetMap via osmdata,unnamed na 77,central african republic | unnamed na 77
Central African Republic,CAF,Central Africa RCC,Unnamed NA 78,NA,points,2084401535,7.3035032,18.2825641,OpenStreetMap via osmdata,unnamed na 78,central african republic | unnamed na 78
Central African Republic,CAF,Central Africa RCC,Centre de Santé de Mbrès,hospital,points,2084480255,6.6681332,19.7992484,OpenStreetMap via osmdata,centre de sante de mbres,central african republic | centre de sante de mbres
Central African Republic,CAF,Central Africa RCC,Unnamed NA 80,NA,points,2084688783,6.2593274,21.1949916,OpenStreetMap via osmdata,unnamed na 80,central african republic | unnamed na 80
Central African Republic,CAF,Central Africa RCC,Unnamed NA 81,NA,points,2084688796,6.2594023,21.1948386,OpenStreetMap via osmdata,unnamed na 81,central african republic | unnamed na 81
Central African Republic,CAF,Central Africa RCC,Unnamed NA 82,NA,points,2084688815,6.2595007,21.1950775,OpenStreetMap via osmdata,unnamed na 82,central african republic | unnamed na 82
Central African Republic,CAF,Central Africa RCC,Unnamed NA 83,NA,points,2084688824,6.2595756,21.1949246,OpenStreetMap via osmdata,unnamed na 83,central african republic | unnamed na 83
Central African Republic,CAF,Central Africa RCC,Centre de Santé Kabo,hospital,points,2110769192,7.6916847,18.6269677,OpenStreetMap via osmdata,centre de sante kabo,central african republic | centre de sante kabo
Central African Republic,CAF,Central Africa RCC,Unnamed NA 85,NA,points,2116422451,6.9982344,19.1575013,OpenStreetMap via osmdata,unnamed na 85,central african republic | unnamed na 85
Central African Republic,CAF,Central Africa RCC,Unnamed NA 86,NA,points,2116422452,6.9982373,19.1576093,OpenStreetMap via osmdata,unnamed na 86,central african republic | unnamed na 86
Central African Republic,CAF,Central Africa RCC,Unnamed NA 87,NA,points,2116422457,6.9983051,19.1576075,OpenStreetMap via osmdata,unnamed na 87,central african republic | unnamed na 87
Central African Republic,CAF,Central Africa RCC,Unnamed NA 88,NA,points,2117529349,6.9905602,19.1796618,OpenStreetMap via osmdata,unnamed na 88,central african republic | unnamed na 88
Central African Republic,CAF,Central Africa RCC,Unnamed NA 89,NA,points,2117529350,6.9905622,19.1798844,OpenStreetMap via osmdata,unnamed na 89,central african republic | unnamed na 89
Central African Republic,CAF,Central Africa RCC,Unnamed NA 90,NA,points,2117529356,6.9906373,19.1798837,OpenStreetMap via osmdata,unnamed na 90,central african republic | unnamed na 90
Central African Republic,CAF,Central Africa RCC,Unnamed NA 91,NA,points,2117529357,6.9906374,19.1798866,OpenStreetMap via osmdata,unnamed na 91,central african republic | unnamed na 91
Central African Republic,CAF,Central Africa RCC,Unnamed NA 92,NA,points,2117529361,6.9906579,19.1798102,OpenStreetMap via osmdata,unnamed na 92,central african republic | unnamed na 92
Central African Republic,CAF,Central Africa RCC,Unnamed NA 93,NA,points,2117529367,6.9907287,19.1798095,OpenStreetMap via osmdata,unnamed na 93,central african republic | unnamed na 93
