country,iso3,rcc,facility_name,facility_type,source_osm_type,osm_id,lat,lon,source,match_key_country_facility,name,commune,objet,access,addr_city,addr_country,addr_county,addr_district,addr_housename,addr_housenumber,addr_pobox,addr_postcode,addr_state,addr_street,addr_subdistrict,addr_suburb,alt_name,amenity,barrier,bed_count,bicycle,building,building_levels,check_date,contact_city,contact_email,contact_facebook,contact_fax,contact_mobile,contact_phone,contact_street,county,craft,denomination,description,designation,dispensing,district,disused,drive_through,electricity,email,emergency,entrance,facebook,fax,fid,fixme,foot,health,health_facility_ci,health_facility_type,healthcare,healthcare_cholera,healthcare_speciality,highway,image,insurance_health,internet_access,is_in,level,loc_name,man_made,motorcar,motorcycle,name_en,name_fr,nature_of_facility,note,nurses_num,office,official_status,old_addr_place,old_name,opening_hours,operational,operational_status,operator,operator_type,operator_name,operator_type_2,ownership,payment_cash,pcode,phone,phone_1,pole,post_addr,postal_code,project_anr_cohesion_bouake,project_geoloc_unicef,project_geoloc_unicef_id,project_opencities_abidjan,projet_eboci,projet_ogpci,public_transport,reg_id,religion,shelter,shop,short_name,source_date,source_date_2,start_date,sub_district,survey_date,water_source,website,wheelchair,who_code_csref,who_distance,who_nbre_village,addr_place,area,building_material,contact_website,doctors_num,elevator,full_name,health_facility,height,id,layer,name_ur,nat_name,official_name,operator_wikidata,operator_wikipedia,source_imagery,wall,wikidata,wikimedia_commons,wikipedia,type,facility_key
Côte d'Ivoire,CIV,Western Africa RCC,NA,NA,points,244519013,5.3378634,-4.0132786,OpenStreetMap via osmdata,cote d ivoire | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entrance,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Côte d'Ivoire,CIV,Western Africa RCC,Pharmacie Saint-Pierre des Rosées,pharmacy,points,452867024,5.3537127,-3.9578942,OpenStreetMap via osmdata,cote d ivoire | pharmacie saint pierre des rosees,Pharmacie Saint-Pierre des Rosées,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacie saint pierre des rosees
Côte d'Ivoire,CIV,Western Africa RCC,Pharmacie Sainte-Agathe,pharmacy,points,452867033,5.3552841,-3.9612958,OpenStreetMap via osmdata,cote d ivoire | pharmacie sainte agathe,Pharmacie Sainte-Agathe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacie sainte agathe
Côte d'Ivoire,CIV,Western Africa RCC,NA,NA,points,452867581,5.3531814,-3.9573481,OpenStreetMap via osmdata,cote d ivoire | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Côte d'Ivoire,CIV,Western Africa RCC,Pharmacie Sainte-Famille,pharmacy,points,452870824,5.3557089,-3.9673062,OpenStreetMap via osmdata,cote d ivoire | pharmacie sainte famille,Pharmacie Sainte-Famille,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacie sainte famille
Côte d'Ivoire,CIV,Western Africa RCC,Centre médical Victoria de la Riviera,doctors,points,454153807,5.3573151,-3.9654195,OpenStreetMap via osmdata,cote d ivoire | centre medical victoria de la riviera,Centre médical Victoria de la Riviera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,doctors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,doctor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,centre medical victoria de la riviera
Côte d'Ivoire,CIV,Western Africa RCC,Pharmacie Boulevard Mitterand,pharmacy,points,454155316,5.3583662,-3.964647,OpenStreetMap via osmdata,cote d ivoire | pharmacie boulevard mitterand,Pharmacie Boulevard Mitterand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacie boulevard mitterand
Côte d'Ivoire,CIV,Western Africa RCC,Centre Médical Joëlle C,doctors,points,454166819,5.3539965,-3.9537051,OpenStreetMap via osmdata,cote d ivoire | centre medical joelle c,Centre Médical Joëlle C,NA,NA,private,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,doctors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,doctor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,centre medical joelle c
Côte d'Ivoire,CIV,Western Africa RCC,Centre d'Acumpuncture Chinois,doctors,points,454167530,5.3540375,-3.9565789,OpenStreetMap via osmdata,cote d ivoire | centre d acumpuncture chinois,Centre d'Acumpuncture Chinois,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,doctors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,doctor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,centre d acumpuncture chinois
Côte d'Ivoire,CIV,Western Africa RCC,Pharmacie Riviera III,pharmacy,points,454179919,5.3483678,-3.9535001,OpenStreetMap via osmdata,cote d ivoire | pharmacie riviera iii,Pharmacie Riviera III,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacie riviera iii
Côte d'Ivoire,CIV,Western Africa RCC,Pharmacie Akadjoba,pharmacy,points,768587449,5.3245002,-4.0807644,OpenStreetMap via osmdata,cote d ivoire | pharmacie akadjoba,Pharmacie Akadjoba,NA,NA,NA,Yopougon,CI,NA,NA,NA,NA,NA,NA,Abidjan,Rue O111,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacie akadjoba
