country,iso3,rcc,facility_name,facility_type,source_osm_type,osm_id,lat,lon,source,facility_key,match_key_country_facility
Cameroon,CMR,Central Africa RCC,Centre Médico Social français,hospital,points,419588091,3.8570057,11.5175834,OpenStreetMap via osmdata,centre medico social francais,cameroon | centre medico social francais
Cameroon,CMR,Central Africa RCC,Unnamed NA 2,NA,points,619707578,4.4302961,14.3649787,OpenStreetMap via osmdata,unnamed na 2,cameroon | unnamed na 2
Cameroon,CMR,Central Africa RCC,Pharmacie Bell,pharmacy,points,967892138,4.0358998,9.6941275,OpenStreetMap via osmdata,pharmacie bell,cameroon | pharmacie bell
Cameroon,CMR,Central Africa RCC,Unnamed NA 4,NA,points,976599036,5.8941619,10.4757452,OpenStreetMap via osmdata,unnamed na 4,cameroon | unnamed na 4
Cameroon,CMR,Central Africa RCC,Unnamed NA 5,NA,points,976599047,5.8913144,10.5230768,OpenStreetMap via osmdata,unnamed na 5,cameroon | unnamed na 5
Cameroon,CMR,Central Africa RCC,Rawado Philantropic Rural Hospital,hospital,points,976652143,5.8893875,10.5355739,OpenStreetMap via osmdata,rawado philantropic rural hospital,cameroon | rawado philantropic rural hospital
Cameroon,CMR,Central Africa RCC,Unnamed NA 7,NA,points,1007095698,4.0599906,11.4300212,OpenStreetMap via osmdata,unnamed na 7,cameroon | unnamed na 7
Cameroon,CMR,Central Africa RCC,Unnamed NA 8,NA,points,1007095970,4.0768945,11.3381233,OpenStreetMap via osmdata,unnamed na 8,cameroon | unnamed na 8
Cameroon,CMR,Central Africa RCC,Unnamed NA 9,NA,points,1013434160,4.064295,11.3074149,OpenStreetMap via osmdata,unnamed na 9,cameroon | unnamed na 9
Cameroon,CMR,Central Africa RCC,Unnamed NA 10,NA,points,1013434290,4.0201223,11.2189623,OpenStreetMap via osmdata,unnamed na 10,cameroon | unnamed na 10
Cameroon,CMR,Central Africa RCC,Central Medical de Nkol Poblo,hospital,points,1013434376,4.0765156,11.2097151,OpenStreetMap via osmdata,central medical de nkol poblo,cameroon | central medical de nkol poblo
Cameroon,CMR,Central Africa RCC,Unnamed pharmacy 12,pharmacy,points,1049493788,9.4920073,13.6783245,OpenStreetMap via osmdata,unnamed pharmacy 12,cameroon | unnamed pharmacy 12
Cameroon,CMR,Central Africa RCC,Centre de Sante Integre de Babanguel I,hospital,points,1049493897,9.6040725,13.7124193,OpenStreetMap via osmdata,centre de sante integre de babanguel i,cameroon | centre de sante integre de babanguel i
Cameroon,CMR,Central Africa RCC,Unnamed NA 14,NA,points,1049705851,9.4579406,13.6380559,OpenStreetMap via osmdata,unnamed na 14,cameroon | unnamed na 14
