country,iso3,rcc,facility_name,facility_type,source_osm_type,osm_id,lat,lon,source,match_key_country_facility,name,addr_city,addr_street,air_conditioning,amenity,check_date,contact_fax,contact_mobile,contact_phone,designation,dispensing,drive_through,email,emergency,entrance,healthcare,healthcare_speciality,healthcare_1,internet_access,internet_access_fee,level,name_es,name_fr,name_pt,note,opening_hours,operator,payment_cards,payment_credit_cards,payment_debit_cards,phone,wheelchair,addr_country,addr_housenumber,area,building,name_zh,website,facility_key
Cabo Verde,CPV,Western Africa RCC,NA,NA,points,1779078571,14.8869037,-24.4964974,OpenStreetMap via osmdata,cabo verde | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cabo Verde,CPV,Western Africa RCC,Centro de Saúde,clinic,points,1960647754,15.2777315,-23.7535002,OpenStreetMap via osmdata,cabo verde | centro de sa de,Centro de Saúde,NA,NA,NA,clinic,NA,661740,NA,661130,NA,NA,NA,NA,NA,NA,clinic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,centro de sa de
Cabo Verde,CPV,Western Africa RCC,Farmácia Tarrafal,pharmacy,points,1960647959,15.2779906,-23.7525148,OpenStreetMap via osmdata,cabo verde | farm cia tarrafal,Farmácia Tarrafal,NA,NA,NA,pharmacy,NA,NA,NA,2661396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,farm cia tarrafal
Cabo Verde,CPV,Western Africa RCC,Gynicalogista,doctors,points,1960648207,14.9195599,-23.5064321,OpenStreetMap via osmdata,cabo verde | gynicalogista,Gynicalogista,NA,NA,NA,doctors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,doctor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gynicalogista
Cabo Verde,CPV,Western Africa RCC,NA,pharmacy,points,1960658124,14.8973503,-24.4982864,OpenStreetMap via osmdata,cabo verde | NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cabo Verde,CPV,Western Africa RCC,NA,pharmacy,points,1960674353,15.0804838,-23.633757,OpenStreetMap via osmdata,cabo verde | NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cabo Verde,CPV,Western Africa RCC,Hospital Santiago Norte,hospital,points,1960676145,15.1280706,-23.6763497,OpenStreetMap via osmdata,cabo verde | hospital santiago norte,Hospital Santiago Norte,NA,NA,NA,hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hospital santiago norte
Cabo Verde,CPV,Western Africa RCC,Enrique Aguirre Leon,dentist,points,1960719171,14.9194861,-23.506493,OpenStreetMap via osmdata,cabo verde | enrique aguirre leon,Enrique Aguirre Leon,NA,NA,NA,dentist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dentist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,enrique aguirre leon
Cabo Verde,CPV,Western Africa RCC,Montz,doctors,points,1960719950,14.8963832,-24.4997095,OpenStreetMap via osmdata,cabo verde | montz,Montz,NA,NA,NA,doctors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,doctor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,montz
Cabo Verde,CPV,Western Africa RCC,NA,NA,points,1960722723,14.8979238,-24.4991094,OpenStreetMap via osmdata,cabo verde | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cabo Verde,CPV,Western Africa RCC,Do Leão,pharmacy,points,1972671630,16.8867768,-24.9881525,OpenStreetMap via osmdata,cabo verde | do le o,Do Leão,NA,NA,NA,pharmacy,NA,2326602,NA,2326604,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do le o
Cabo Verde,CPV,Western Africa RCC,Dra. Samila Inocêncio,doctors,points,1972671692,16.8852305,-24.9850272,OpenStreetMap via osmdata,cabo verde | dra samila inocencio,Dra. Samila Inocêncio,NA,NA,NA,doctors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,doctor,NA,NA,NA,NA,NA,NA,NA,NA,Thyroid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dra samila inocencio
Cabo Verde,CPV,Western Africa RCC,Jovem,pharmacy,points,1972672033,16.8835073,-24.9859273,OpenStreetMap via osmdata,cabo verde | jovem,Jovem,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+238 232 45 30,NA,NA,NA,NA,NA,NA,NA,jovem
Cabo Verde,CPV,Western Africa RCC,NA,dentist,points,1972673308,16.8855186,-24.9859665,OpenStreetMap via osmdata,cabo verde | NA,NA,NA,NA,NA,dentist,NA,NA,NA,2310309,NA,NA,NA,NA,NA,NA,dentist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cabo Verde,CPV,Western Africa RCC,NA,NA,points,2047739138,14.9199663,-23.5055114,OpenStreetMap via osmdata,cabo verde | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cabo Verde,CPV,Western Africa RCC,NA,NA,points,2047739146,14.9201415,-23.5057634,OpenStreetMap via osmdata,cabo verde | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cabo Verde,CPV,Western Africa RCC,NA,NA,points,2047739150,14.9203368,-23.5053203,OpenStreetMap via osmdata,cabo verde | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cabo Verde,CPV,Western Africa RCC,NA,NA,points,2047739151,14.9204014,-23.5052851,OpenStreetMap via osmdata,cabo verde | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cabo Verde,CPV,Western Africa RCC,NA,NA,points,2047739154,14.9204198,-23.5054926,OpenStreetMap via osmdata,cabo verde | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cabo Verde,CPV,Western Africa RCC,NA,NA,points,2047739156,14.9204851,-23.5054589,OpenStreetMap via osmdata,cabo verde | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cabo Verde,CPV,Western Africa RCC,NA,NA,points,2047739157,14.9205203,-23.5052238,OpenStreetMap via osmdata,cabo verde | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cabo Verde,CPV,Western Africa RCC,NA,NA,points,2047739159,14.9206732,-23.5055415,OpenStreetMap via osmdata,cabo verde | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
