country,iso3,rcc,facility_name,facility_type,source_osm_type,osm_id,lat,lon,source,match_key_country_facility,name,addr_city,addr_constituency,addr_district,addr_floor,addr_housenumber,addr_postcode,addr_province,addr_street,addr_ward,alt_name,amenity,barrier,building,check_date,condition,contact_facebook,description,dispensing,electricity,email,facility,fixme,health_facility_type,healthcare,healthcare_speciality,insurance_health,internet_access,is_in,is_in_subward,is_in_ward,level,loc_name,mobile,name_en,name_ja,name_sw,opening_hours,operational_status,operator,operator_type,ownership,payment_mastercard,payment_visa,phone,ref,ref_mo_hmw,source_date,ward,ward_name,website,wheelchair,addr_village,building_levels,building_material,emergency,height,layer,name_pt,name_1,wall,wikidata,wikipedia,type,facility_key
Malawi,MWI,Southern Africa RCC,Likuni,hospital,points,274086722,-14.0281706,33.7066948,OpenStreetMap via osmdata,malawi | likuni,Likuni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hospital,NA,NA,NA,Malawi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,likuni
Malawi,MWI,Southern Africa RCC,Maula Pharmacies,pharmacy,points,393314003,-13.9814862,33.7629288,OpenStreetMap via osmdata,malawi | maula pharmacies,Maula Pharmacies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,maula pharmacies
Malawi,MWI,Southern Africa RCC,NA,NA,points,421455811,-15.3980263,35.3130467,OpenStreetMap via osmdata,malawi | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,MWI,Southern Africa RCC,NA,NA,points,421455812,-15.4004064,35.3123745,OpenStreetMap via osmdata,malawi | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,MWI,Southern Africa RCC,NA,NA,points,421455814,-15.4008508,35.3146949,OpenStreetMap via osmdata,malawi | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,MWI,Southern Africa RCC,NA,NA,points,421455815,-15.3990345,35.3155187,OpenStreetMap via osmdata,malawi | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,MWI,Southern Africa RCC,Mvera Mission Hospital,hospital,points,476497668,-13.7301317,34.1245453,OpenStreetMap via osmdata,malawi | mvera mission hospital,Mvera Mission Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mvera mission hospital
Malawi,MWI,Southern Africa RCC,Nyungwe Hospital,hospital,points,476501750,-10.2874619,34.1077203,OpenStreetMap via osmdata,malawi | nyungwe hospital,Nyungwe Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nyungwe hospital
Malawi,MWI,Southern Africa RCC,Ntaja Hospital Center,hospital,points,476507020,-14.8731706,35.5288368,OpenStreetMap via osmdata,malawi | ntaja hospital center,Ntaja Hospital Center,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ntaja hospital center
Malawi,MWI,Southern Africa RCC,NA,NA,points,476508093,-15.7179122,35.6873329,OpenStreetMap via osmdata,malawi | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malawi,MWI,Southern Africa RCC,NA,NA,points,476509451,-16.0679019,35.1475366,OpenStreetMap via osmdata,malawi | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
