country,iso3,rcc,facility_name,facility_type,source_osm_type,osm_id,lat,lon,source,match_key_country_facility,name,add,addr_city,addr_city_ar,addr_country,addr_housenumber,addr_place,addr_postcode,addr_street,addr_street_ar,address,alt_name,alt_name_ar,alt_name_en,amenity,barrier,building,building_material,clinic_description,contact_facebook,description,description_en,dispensing,drive_through,emergency,entrance,health_amenity_type,healthcare,healthcare_speciality,insurance_health,internet_access,language_ar,name_am,name_ar,name_en,name_es,name_fr,name_pt,name_tr,name_zh,not_operator_wikidata,opening_hours,operational_status,operator,operator_short,operator_type,operator_wikidata,operator_wikipedia,phone,shop,source_date,survey_date,tourism,url,wheelchair,addr_municipality,addr_state,building_levels,designation,ele,email,fixme,health_facility_type,height,landuse,website,wikidata,type,facility_key
Sudan,SDN,Northern Africa RCC,NA,NA,points,44880058,15.5468532,32.5560417,OpenStreetMap via osmdata,sudan | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sudan,SDN,Northern Africa RCC,NA,NA,points,44880060,15.5471794,32.5581223,OpenStreetMap via osmdata,sudan | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sudan,SDN,Northern Africa RCC,NA,NA,points,44880062,15.5476341,32.5558649,OpenStreetMap via osmdata,sudan | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sudan,SDN,Northern Africa RCC,NA,NA,points,44880286,15.5479814,32.5579506,OpenStreetMap via osmdata,sudan | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sudan,SDN,Northern Africa RCC,صيدلية محمد سعيد,pharmacy,points,49224499,15.6069512,32.4661178,OpenStreetMap via osmdata,sudan | ,صيدلية محمد سعيد,NA,الخرطوم,NA,SD,NA,NA,NA,شارع الفتيحاب,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,Mohamed Sa'eed Pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sudan,SDN,Northern Africa RCC,صيدلية ضحي,pharmacy,points,49230629,15.6075029,32.4707046,OpenStreetMap via osmdata,sudan | ,صيدلية ضحي,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,صيدلية ضحي,Duha Pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sudan,SDN,Northern Africa RCC,مستشفى امدرمان التعليمي,hospital,points,49318047,15.642411,32.4878867,OpenStreetMap via osmdata,sudan | ,مستشفى امدرمان التعليمي,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hospital,NA,NA,NA,NA,NA,مستشفى امدرمان التعليمي,Omdurman teaching hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sudan,SDN,Northern Africa RCC,NA,NA,points,373728912,15.5079274,32.6235418,OpenStreetMap via osmdata,sudan | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sudan,SDN,Northern Africa RCC,NA,NA,points,667115334,15.6405768,32.4830135,OpenStreetMap via osmdata,sudan | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sudan,SDN,Northern Africa RCC,NA,NA,points,921937336,15.5778476,32.5421656,OpenStreetMap via osmdata,sudan | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sudan,SDN,Northern Africa RCC,NA,NA,points,921937344,15.5777993,32.5441559,OpenStreetMap via osmdata,sudan | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
