country,iso3,rcc,facility_name,facility_type,source_osm_type,osm_id,lat,lon,source,facility_key,match_key_country_facility
Sierra Leone,SLE,Western Africa RCC,A Bah Pharmacy,pharmacy,points,1795616937,7.9666815,-11.7369592,OpenStreetMap via osmdata,a bah pharmacy,sierra leone | a bah pharmacy
Sierra Leone,SLE,Western Africa RCC,AK Enterprise,pharmacy,points,1795616940,7.9627499,-11.7356922,OpenStreetMap via osmdata,ak enterprise,sierra leone | ak enterprise
Sierra Leone,SLE,Western Africa RCC,All Nations Patent,pharmacy,points,1795616942,7.9647508,-11.7370429,OpenStreetMap via osmdata,all nations patent,sierra leone | all nations patent
Sierra Leone,SLE,Western Africa RCC,Alpha Bah Pharmacy,pharmacy,points,1795616943,7.965088,-11.7375662,OpenStreetMap via osmdata,alpha bah pharmacy,sierra leone | alpha bah pharmacy
Sierra Leone,SLE,Western Africa RCC,Aunty Musu Drug Store,pharmacy,points,1795616945,7.9422207,-11.7274685,OpenStreetMap via osmdata,aunty musu drug store,sierra leone | aunty musu drug store
Sierra Leone,SLE,Western Africa RCC,Betty's Medicine Shop,pharmacy,points,1795616946,7.9683497,-11.7373822,OpenStreetMap via osmdata,betty s medicine shop,sierra leone | betty s medicine shop
Sierra Leone,SLE,Western Africa RCC,Boris Pharmacy,pharmacy,points,1795616948,7.9638308,-11.7413867,OpenStreetMap via osmdata,boris pharmacy,sierra leone | boris pharmacy
Sierra Leone,SLE,Western Africa RCC,Unnamed NA 8,NA,points,1795616953,7.9635981,-11.7468774,OpenStreetMap via osmdata,unnamed na 8,sierra leone | unnamed na 8
Sierra Leone,SLE,Western Africa RCC,Faith Patent Medical Store,pharmacy,points,1795616956,7.9642537,-11.7595602,OpenStreetMap via osmdata,faith patent medical store,sierra leone | faith patent medical store
Sierra Leone,SLE,Western Africa RCC,Faithful Rose Medical Store,pharmacy,points,1795616958,7.9625102,-11.7583001,OpenStreetMap via osmdata,faithful rose medical store,sierra leone | faithful rose medical store
Sierra Leone,SLE,Western Africa RCC,Family Patent,pharmacy,points,1795616959,7.962366,-11.7333103,OpenStreetMap via osmdata,family patent,sierra leone | family patent
Sierra Leone,SLE,Western Africa RCC,Fatibra Health Centre,pharmacy,points,1795616960,7.9648627,-11.7612105,OpenStreetMap via osmdata,fatibra health centre,sierra leone | fatibra health centre
Sierra Leone,SLE,Western Africa RCC,Happy Life Drug Store,pharmacy,points,1795616965,7.9636284,-11.7306143,OpenStreetMap via osmdata,happy life drug store,sierra leone | happy life drug store
Sierra Leone,SLE,Western Africa RCC,Hawa Lenga,pharmacy,points,1795616966,7.9620359,-11.7401755,OpenStreetMap via osmdata,hawa lenga,sierra leone | hawa lenga
Sierra Leone,SLE,Western Africa RCC,Hope Enterprise,pharmacy,points,1795616968,7.9649259,-11.7371078,OpenStreetMap via osmdata,hope enterprise,sierra leone | hope enterprise
Sierra Leone,SLE,Western Africa RCC,IK Kamara Pharmacy,pharmacy,points,1795616971,7.965056,-11.7371944,OpenStreetMap via osmdata,ik kamara pharmacy,sierra leone | ik kamara pharmacy
Sierra Leone,SLE,Western Africa RCC,IS Barrie Enterprise,pharmacy,points,1795616972,7.9646637,-11.7371519,OpenStreetMap via osmdata,is barrie enterprise,sierra leone | is barrie enterprise
Sierra Leone,SLE,Western Africa RCC,Idalanda Drug Store,pharmacy,points,1795616973,7.96829,-11.7373998,OpenStreetMap via osmdata,idalanda drug store,sierra leone | idalanda drug store
Sierra Leone,SLE,Western Africa RCC,Jehova Rohi Patent Store,pharmacy,points,1795616975,7.9464797,-11.7382499,OpenStreetMap via osmdata,jehova rohi patent store,sierra leone | jehova rohi patent store
Sierra Leone,SLE,Western Africa RCC,Jenkin's Patent Medical,pharmacy,points,1795616976,7.9433288,-11.728606,OpenStreetMap via osmdata,jenkin s patent medical,sierra leone | jenkin s patent medical
