country,iso3,rcc,facility_name,facility_type,source_osm_type,osm_id,lat,lon,source,match_key_country_facility,name,amenity,check_date,healthcare,phone,alt_name,building,building_colour,building_levels,emergency,roof_colour,roof_shape,wikidata,wikipedia,facility_key
São Tomé and Príncipe,STP,Central Africa RCC,NA,NA,points,2165352794,0.3579788,6.722084,OpenStreetMap via osmdata,s o tome and pr ncipe | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Tomé and Príncipe,STP,Central Africa RCC,NA,NA,points,2165352795,0.3575041,6.7235109,OpenStreetMap via osmdata,s o tome and pr ncipe | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Tomé and Príncipe,STP,Central Africa RCC,NA,NA,points,2165352796,0.3555756,6.7213142,OpenStreetMap via osmdata,s o tome and pr ncipe | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Tomé and Príncipe,STP,Central Africa RCC,NA,NA,points,2165352797,0.3551357,6.7227197,OpenStreetMap via osmdata,s o tome and pr ncipe | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Tomé and Príncipe,STP,Central Africa RCC,NA,NA,points,2283023387,0.3568333,6.7221645,OpenStreetMap via osmdata,s o tome and pr ncipe | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Tomé and Príncipe,STP,Central Africa RCC,NA,NA,points,2283023390,0.3566909,6.7220324,OpenStreetMap via osmdata,s o tome and pr ncipe | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Tomé and Príncipe,STP,Central Africa RCC,NA,NA,points,2283023392,0.3567902,6.7223005,OpenStreetMap via osmdata,s o tome and pr ncipe | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Tomé and Príncipe,STP,Central Africa RCC,NA,NA,points,2283023394,0.3565847,6.7219987,OpenStreetMap via osmdata,s o tome and pr ncipe | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Tomé and Príncipe,STP,Central Africa RCC,NA,NA,points,2283023395,0.3565631,6.7220669,OpenStreetMap via osmdata,s o tome and pr ncipe | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Tomé and Príncipe,STP,Central Africa RCC,NA,NA,points,2283023398,0.356379,6.7220085,OpenStreetMap via osmdata,s o tome and pr ncipe | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Tomé and Príncipe,STP,Central Africa RCC,NA,NA,points,2283023399,0.3566658,6.7221114,OpenStreetMap via osmdata,s o tome and pr ncipe | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Tomé and Príncipe,STP,Central Africa RCC,NA,NA,points,2283023401,0.3563323,6.7221551,OpenStreetMap via osmdata,s o tome and pr ncipe | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Tomé and Príncipe,STP,Central Africa RCC,NA,NA,points,2334463666,0.2622837,6.7031104,OpenStreetMap via osmdata,s o tome and pr ncipe | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Tomé and Príncipe,STP,Central Africa RCC,NA,NA,points,2334463667,0.2622424,6.703193,OpenStreetMap via osmdata,s o tome and pr ncipe | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Tomé and Príncipe,STP,Central Africa RCC,NA,NA,points,2334463669,0.2623152,6.7032294,OpenStreetMap via osmdata,s o tome and pr ncipe | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Tomé and Príncipe,STP,Central Africa RCC,NA,NA,points,2334463682,0.2623565,6.7031468,OpenStreetMap via osmdata,s o tome and pr ncipe | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Tomé and Príncipe,STP,Central Africa RCC,NA,hospital,points,2344551101,0.2515948,6.7408426,OpenStreetMap via osmdata,s o tome and pr ncipe | NA,NA,hospital,NA,hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Tomé and Príncipe,STP,Central Africa RCC,Hospital Dr. Manuel Quaresma Dias da Graça,hospital,points,2389806965,1.6446713,7.4214815,OpenStreetMap via osmdata,s o tome and pr ncipe | hospital dr manuel quaresma dias da graca,Hospital Dr. Manuel Quaresma Dias da Graça,hospital,NA,hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hospital dr manuel quaresma dias da graca
São Tomé and Príncipe,STP,Central Africa RCC,NA,NA,points,2397516852,0.3223499,6.658166,OpenStreetMap via osmdata,s o tome and pr ncipe | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Tomé and Príncipe,STP,Central Africa RCC,NA,NA,points,2397516856,0.3222515,6.6581618,OpenStreetMap via osmdata,s o tome and pr ncipe | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Tomé and Príncipe,STP,Central Africa RCC,NA,NA,points,2397516863,0.3222449,6.6583146,OpenStreetMap via osmdata,s o tome and pr ncipe | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Tomé and Príncipe,STP,Central Africa RCC,NA,NA,points,2397516865,0.3221799,6.6583118,OpenStreetMap via osmdata,s o tome and pr ncipe | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Tomé and Príncipe,STP,Central Africa RCC,NA,NA,points,2397516867,0.3221765,6.658391,OpenStreetMap via osmdata,s o tome and pr ncipe | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Tomé and Príncipe,STP,Central Africa RCC,NA,NA,points,2397516869,0.3222442,6.6583939,OpenStreetMap via osmdata,s o tome and pr ncipe | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Tomé and Príncipe,STP,Central Africa RCC,NA,NA,points,2397516871,0.3222378,6.6585422,OpenStreetMap via osmdata,s o tome and pr ncipe | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Tomé and Príncipe,STP,Central Africa RCC,NA,NA,points,2397516873,0.3223335,6.6585463,OpenStreetMap via osmdata,s o tome and pr ncipe | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Tomé and Príncipe,STP,Central Africa RCC,Nova Apostolica,clinic,points,2496287956,1.6393209,7.4247541,OpenStreetMap via osmdata,s o tome and pr ncipe | nova apostolica,Nova Apostolica,clinic,NA,clinic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nova apostolica
São Tomé and Príncipe,STP,Central Africa RCC,Nova Apostolica,hospital,points,2501487238,1.6393221,7.4247541,OpenStreetMap via osmdata,s o tome and pr ncipe | nova apostolica,Nova Apostolica,hospital,NA,hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nova apostolica
São Tomé and Príncipe,STP,Central Africa RCC,Posto de Nova Estrela,clinic,points,2501487241,1.6198354,7.4307499,OpenStreetMap via osmdata,s o tome and pr ncipe | posto de nova estrela,Posto de Nova Estrela,clinic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,posto de nova estrela
São Tomé and Príncipe,STP,Central Africa RCC,Posto de Aeroporto,hospital,points,2509408903,1.6652236,7.4137677,OpenStreetMap via osmdata,s o tome and pr ncipe | posto de aeroporto,Posto de Aeroporto,hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,posto de aeroporto
São Tomé and Príncipe,STP,Central Africa RCC,Posto de Porto Real,clinic,points,2509420303,1.624747,7.405495,OpenStreetMap via osmdata,s o tome and pr ncipe | posto de porto real,Posto de Porto Real,clinic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,posto de porto real
