country,iso3,rcc,facility_name,facility_type,source_osm_type,osm_id,lat,lon,source,match_key_country_facility,name,access,addr_city,addr_housenumber,addr_postcode,addr_street,alt_name,amenity,barrier,brand,brand_wikidata,contact_phone,dispensing,email,emergency,healthcare,healthcare_speciality,name_en,opening_hours,operator,operator_type,operator_wikidata,phone,source_date,source_name,building,contact_fax,contact_website,designation,fax,short_name,website,wikidata,type,facility_key
Eswatini,SWZ,Southern Africa RCC,Swaziland Red Cross,clinic,points,59649330,-25.9581793,31.2499653,OpenStreetMap via osmdata,eswatini | swaziland red cross,Swaziland Red Cross,NA,NA,NA,NA,NA,NA,clinic,NA,NA,NA,NA,NA,NA,NA,clinic,NA,NA,NA,International Red Cross,ngo,Q7178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,swaziland red cross
Eswatini,SWZ,Southern Africa RCC,Matsapha Pharmacy,pharmacy,points,1398391733,-26.5022998,31.3184465,OpenStreetMap via osmdata,eswatini | matsapha pharmacy,Matsapha Pharmacy,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,matsapha pharmacy
Eswatini,SWZ,Southern Africa RCC,NA,NA,points,1398433751,-26.5022717,31.3101924,OpenStreetMap via osmdata,eswatini | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eswatini,SWZ,Southern Africa RCC,NA,NA,points,1398433776,-26.5016131,31.3104967,OpenStreetMap via osmdata,eswatini | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eswatini,SWZ,Southern Africa RCC,NA,NA,points,1398433834,-26.5016761,31.3106695,OpenStreetMap via osmdata,eswatini | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eswatini,SWZ,Southern Africa RCC,NA,NA,points,1398433870,-26.5023361,31.3103691,OpenStreetMap via osmdata,eswatini | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eswatini,SWZ,Southern Africa RCC,NA,NA,points,1972421802,-26.3275156,31.1344489,OpenStreetMap via osmdata,eswatini | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eswatini,SWZ,Southern Africa RCC,NA,NA,points,1972421836,-26.3275221,31.1343482,OpenStreetMap via osmdata,eswatini | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eswatini,SWZ,Southern Africa RCC,NA,NA,points,1972421904,-26.3281546,31.1337077,OpenStreetMap via osmdata,eswatini | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eswatini,SWZ,Southern Africa RCC,NA,NA,points,1972422046,-26.3275206,31.1345136,OpenStreetMap via osmdata,eswatini | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eswatini,SWZ,Southern Africa RCC,NA,NA,points,1972422106,-26.3276107,31.1345691,OpenStreetMap via osmdata,eswatini | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eswatini,SWZ,Southern Africa RCC,NA,NA,points,1972422132,-26.3283845,31.1340243,OpenStreetMap via osmdata,eswatini | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eswatini,SWZ,Southern Africa RCC,NA,NA,points,1972422151,-26.3283079,31.1339228,OpenStreetMap via osmdata,eswatini | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eswatini,SWZ,Southern Africa RCC,NA,NA,points,1972422181,-26.3276162,31.1346001,OpenStreetMap via osmdata,eswatini | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eswatini,SWZ,Southern Africa RCC,NA,NA,points,1972422217,-26.3275158,31.1343794,OpenStreetMap via osmdata,eswatini | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eswatini,SWZ,Southern Africa RCC,NA,NA,points,1972422348,-26.3279837,31.1336598,OpenStreetMap via osmdata,eswatini | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eswatini,SWZ,Southern Africa RCC,NA,NA,points,2117062469,-26.4431167,31.1866745,OpenStreetMap via osmdata,eswatini | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eswatini,SWZ,Southern Africa RCC,NA,NA,points,2276767778,-27.1211873,31.2094326,OpenStreetMap via osmdata,eswatini | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eswatini,SWZ,Southern Africa RCC,Clicks,pharmacy,points,2277198010,-26.4396625,31.1872684,OpenStreetMap via osmdata,eswatini | clicks,Clicks,NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,pharmacy,NA,Clicks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,clicks
