iso3,country,rcc,selected_admin_level,geo_confidence,n_features,clean_file,source
CMR,Cameroon,Central Africa RCC,ADM2,Medium,60,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/CMR_ADM2_geoboundaries_clean.geojson,geoBoundaries
CAF,Central African Republic,Central Africa RCC,ADM2,Medium,72,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/CAF_ADM2_geoboundaries_clean.geojson,geoBoundaries
TCD,Chad,Central Africa RCC,ADM2,Medium,70,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/TCD_ADM2_geoboundaries_clean.geojson,geoBoundaries
COG,Congo,Central Africa RCC,ADM2,Medium,46,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/COG_ADM2_geoboundaries_clean.geojson,geoBoundaries
COD,Democratic Republic of the Congo,Central Africa RCC,ADM2,Medium,189,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/COD_ADM2_geoboundaries_clean.geojson,geoBoundaries
GNQ,Equatorial Guinea,Central Africa RCC,ADM2,Medium,28,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/GNQ_ADM2_geoboundaries_clean.geojson,geoBoundaries
GAB,Gabon,Central Africa RCC,ADM2,Medium,49,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/GAB_ADM2_geoboundaries_clean.geojson,geoBoundaries
STP,São Tomé and Príncipe,Central Africa RCC,ADM2,Medium,7,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/STP_ADM2_geoboundaries_clean.geojson,geoBoundaries
BDI,Burundi,Eastern Africa RCC,ADM2,Medium,119,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/BDI_ADM2_geoboundaries_clean.geojson,geoBoundaries
COM,Comoros,Eastern Africa RCC,ADM2,Medium,17,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/COM_ADM2_geoboundaries_clean.geojson,geoBoundaries
