iso3,country,rcc,adm_level,status,api_url,download_url,raw_file,clean_file,n_features,n_columns,geometry_type,crs,error,selected_for_preis
DZA,Algeria,Northern Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/DZA/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/DZA/ADM2/geoBoundaries-DZA-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/DZA_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/DZA_ADM2_geoboundaries_clean.geojson,48,12,POLYGON; MULTIPOLYGON,WGS 84,NA,TRUE
AGO,Angola,Southern Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/AGO/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AGO/ADM2/geoBoundaries-AGO-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/AGO_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/AGO_ADM2_geoboundaries_clean.geojson,157,12,POLYGON; MULTIPOLYGON,WGS 84,NA,TRUE
BEN,Benin,Western Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/BEN/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BEN/ADM2/geoBoundaries-BEN-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/BEN_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/BEN_ADM2_geoboundaries_clean.geojson,77,12,POLYGON,WGS 84,NA,TRUE
BWA,Botswana,Southern Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/BWA/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BWA/ADM2/geoBoundaries-BWA-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/BWA_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/BWA_ADM2_geoboundaries_clean.geojson,25,12,POLYGON,WGS 84,NA,TRUE
BFA,Burkina Faso,Western Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/BFA/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BFA/ADM2/geoBoundaries-BFA-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/BFA_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/BFA_ADM2_geoboundaries_clean.geojson,45,12,POLYGON,WGS 84,NA,TRUE
BDI,Burundi,Eastern Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/BDI/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BDI/ADM2/geoBoundaries-BDI-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/BDI_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/BDI_ADM2_geoboundaries_clean.geojson,119,12,POLYGON,WGS 84,NA,TRUE
CPV,Cabo Verde,Western Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/CPV/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/CPV/ADM2/geoBoundaries-CPV-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/CPV_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/CPV_ADM2_geoboundaries_clean.geojson,32,12,POLYGON; MULTIPOLYGON,WGS 84,NA,TRUE
CMR,Cameroon,Central Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/CMR/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/CMR/ADM2/geoBoundaries-CMR-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/CMR_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/CMR_ADM2_geoboundaries_clean.geojson,60,12,POLYGON,WGS 84,NA,TRUE
CAF,Central African Republic,Central Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/CAF/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/CAF/ADM2/geoBoundaries-CAF-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/CAF_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/CAF_ADM2_geoboundaries_clean.geojson,72,12,POLYGON,WGS 84,NA,TRUE
TCD,Chad,Central Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/TCD/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/TCD/ADM2/geoBoundaries-TCD-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/TCD_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/TCD_ADM2_geoboundaries_clean.geojson,70,12,POLYGON,WGS 84,NA,TRUE
