sitrep_no,cas_cumules,cfr,deces_cumules,nouveaux_cas,date,nouveaux_cas_calc,nouveaux_deces,var_cas,moy_mobile_cas
2,42,NA,NA,NA,2026-05-17,NA,NA,NA,NA
4,516,33,131,474,2026-05-18,474,NA,474,474
5,575,51,148,59,2026-05-19,59,17,59,266.5
6,1881,61,1881,1306,2026-05-20,1306,1733,1306,613
14,NA,64.71,NA,NA,2026-05-28,NA,NA,NA,682.5
15,NA,54,NA,NA,2026-05-29,NA,NA,NA,1306
16,NA,19,NA,NA,2026-05-30,NA,NA,NA,NA
17,NA,15,NA,NA,2026-05-31,NA,NA,NA,NA
18,NA,17.4,NA,NA,2026-06-01,NA,NA,NA,NA
19,NA,17.1,NA,NA,2026-06-02,NA,NA,NA,NA
20,NA,16.8,NA,NA,2026-06-03,NA,NA,NA,NA
21,NA,18.1,NA,NA,2026-06-04,NA,NA,NA,NA
22,NA,17.6,NA,NA,2026-06-05,NA,NA,NA,NA
23,NA,17.7,NA,NA,2026-06-06,NA,NA,NA,NA
24,NA,18.4,NA,NA,2026-06-07,NA,NA,NA,NA
25,NA,19.2,NA,NA,2026-06-08,NA,NA,NA,NA
26,NA,20,NA,NA,2026-06-09,NA,NA,NA,NA
27,NA,20.1,NA,NA,2026-06-10,NA,NA,NA,NA
28,NA,20.2,NA,NA,2026-06-11,NA,NA,NA,NA
30,NA,23.1,NA,NA,2026-06-13,NA,NA,NA,NA
31,NA,23.8,NA,NA,2026-06-14,NA,NA,NA,NA
32,NA,23.4,NA,NA,2026-06-15,NA,NA,NA,NA
33,NA,23.1,NA,NA,2026-06-16,NA,NA,NA,NA
34,NA,26.3,NA,NA,2026-06-17,NA,NA,NA,NA
35,NA,26.3,NA,NA,2026-06-18,NA,NA,NA,NA
36,NA,25.8,NA,NA,NA,NA,NA,NA,NA
37,NA,25.3,NA,NA,NA,NA,NA,NA,NA
38,NA,25.5,NA,NA,NA,NA,NA,NA,NA
39,NA,25.3,NA,NA,NA,NA,NA,NA,NA
40,NA,26,NA,NA,NA,NA,NA,NA,NA
