Province / Zone de santé	Cas confirmés cumulés (n)	Décès confirmés cumulés (n)	"Létalité (CFR,"				Province / Zone de santé	Cas confirmés cumulés (n)	Décès confirmés cumulés (n)	Létalité (%)
			%)				ITURI			
ITURI							Bunia	212	20	9.40%
Bunia	142	14	"9,9%"				Rwampara	149	27	18.10%
Rwampara	98	19	"19,4%"				Mongbwalu	164	73	44.50%
Mongbwalu	92	25	"27,2%"				Nyankunde	38	1	2.60%
Nyankunde	24	1	"4,2%"				Bambu	7	2	28.60%
Bambu	5	2	"40,0%"				Aru	3	1	33.30%
Aru	3	1	"33,3%"				Kilo	4	1	25.00%
Kilo	4	1	"25,0%"				Nizi	11	1	9.10%
Nizi	5	0	"0,0%"				Mangala	5	3	60.00%
Mangala	1	0	"0,0%"				Damas	4	0	0.00%
Damas	3	0	"0,0%"				Aungba	2	1	50.00%
Aungba	1	0	"0,0%"				Gety	1	0	0.00%
Gety	1	0	"0,0%"				Komanda	6	0	0.00%
Komanda	3	0	"0,0%"				Lita	6	0	0.00%
Lita	4	0	"0,0%"				Logo	2	0	0.00%
Logo	2	0	"0,0%"				Mambasa	2	1	50.00%
Mambasa	2	1	"50,0%"				Rimba	3	0	0.00%
Rimba	3	0	"0,0%"				Tchomia	2	0	0.00%
Autres ZS (données non ventilées)	94	10	"10,6%"				Kambala	1	1	100.00%
Sous-total Ituri	487	74	"15,2%"				Nia-nia	1	1	100.00%
NORD-KIVU							Autres ZS (données non ventilées)	94	10	10.60%
Katwa	11	8	"72,7%"				Sous-total Ituri	717	143	19.90%
Beni	5	3	"60,0%"				NORD-KIVU			
Butembo	4	2	"50,0%"				Katwa	19	12	63.20%
Oicha	2	2	"100,0%"				Beni	14	11	78.60%
Kalunguta	1	1	"100,0%"				Butembo	18	7	38.90%
Kyondo	1	0	"0,0%"				Oicha	2	2	100.00%
Goma	1	0	"0,0%"				Kalunguta	2	1	50.00%
Sous-total Nord-Kivu	25	16	"64,0%"				Kyondo	2	1	50.00%
SUD-KIVU							Goma	1	0	0.00%
Miti-Murhesa	3	1	"33,3%"				Masereka	1	0	0.00%
Sous-total Sud-Kivu	3	1	"33,3%"				Vuhovi	1	1	100.00%
TOTAL	515	91	"17,7%"				Mabalako	1	0	0.00%
							Sous-total Nord-Kivu	61	35	57.40%
							SUD-KIVU			
							Miti-Murhesa	3	1	33%
	06 Juin 2026						Sous-total Sud-Kivu	3	1	33%
							TOTAL	781	179	23%
