"Province","Zone de sante","Cas confirmes (cumul 13/06)","Deces confirmes (cumul 13/06)","Letalite (%) provisoire","Nouveaux cas (07-13/06)","Nouveaux deces (07-13/06)"
"Ituri","Bunia",212,20,9.4,"70","6"
"Ituri","Rwampara",149,27,18.1,"51","8"
"Ituri","Mongbwalu",164,73,44.5,"72","48"
"Ituri","Nyankunde",38,1,2.6,"14","0"
"Ituri","Bambu",7,2,28.6,"2","0"
"Ituri","Aru",3,1,33.3,"0","0"
"Ituri","Kilo",4,1,25,"0","0"
"Ituri","Nizi",11,1,9.1,"6","1"
"Ituri","Mangala",5,3,60,"4","3"
"Ituri","Damas",4,0,0,"1","0"
"Ituri","Aungba",2,1,50,"1","1"
"Ituri","Gety",1,0,0,"0","0"
"Ituri","Komanda",6,0,0,"3","0"
"Ituri","Lita",6,0,0,"2","0"
"Ituri","Logo",2,0,0,"0","0"
"Ituri","Mambasa",2,1,50,"0","0"
"Ituri","Rimba",3,0,0,"0","0"
"Ituri","Tchomia",2,0,0,"2","0"
"Ituri","Kambala",1,1,100,"1","1"
"Ituri","Nia-nia",1,1,100,"1","1"
"Ituri","Autres ZS (non ventilees)",94,10,10.6,"n/d","n/d"
"Nord-Kivu","Katwa",19,12,63.2,"8","4"
"Nord-Kivu","Beni",14,11,78.6,"9","8"
"Nord-Kivu","Butembo",18,7,38.9,"14","5"
"Nord-Kivu","Oicha",2,2,100,"0","0"
"Nord-Kivu","Kalunguta",2,1,50,"1","0"
"Nord-Kivu","Kyondo",2,1,50,"1","1"
"Nord-Kivu","Goma",1,0,0,"0","0"
"Nord-Kivu","Masereka",1,0,0,"1","0"
"Nord-Kivu","Vuhovi",1,1,100,"1","1"
"Nord-Kivu","Mabalako",1,0,0,"1","0"
"Sud-Kivu","Miti-Murhesa",3,1,33.3,"0","0"
"Ituri","-- SOUS-TOTAL --",717,143,19.9,"230","69"
"Nord-Kivu","-- SOUS-TOTAL --",61,35,57.4,"36","19"
"Sud-Kivu","-- SOUS-TOTAL --",3,1,33.3,"0","0"
"TOTAL NATIONAL","-- 3 provinces --",781,179,22.9,"266","88"
