nom,cas
Bunia,905
Rwampara,644
Mongbwalu,550
Nizi,397
Katwa,180
Lita,137
Nyankunde,115
Mangala,105
Nia-Nia,103
Butembo,88
Beni,61
Bambu,60
Musienene,41
Tchomia,41
Komanda,37
Fataki,35
Nia Nia,35
Kilo,29
Isiro,19
Damas,18
Mandima,16
Wamba,16
Kyondo,13
Boma Mangbetu,12
Pawa,12
Adja,11
Drodro,11
Mambasa,10
Aungba,9
Logo,9
Rimba,9
Ariwara,7
Lolwa,7
Kalunguta,6
Aru,5
Mahagi,4
Masereka,4
Oicha,4
Rumba,4
Makiso Kisangani,3
Makiso-Kisangani,3
Miti Murhesa,3
Miti-Murhesa,3
Kambala,2
Boga,1
Gety,1
Goma,1
Kabondo,1
Lubunga,1
Lubunga (Tshopo),1
Mabalako,1
Mangobo,1
Rungu,1
Vuhovi,1
Wanierukula,1
Karisimbi,0
Manguredjipa,0
